"","","","","","","","Average Monthly Prices of 53 Essential Items for the month of March 2015","","","","","","","","","","","","","","","","",""
"S.
No.","Description","Unit","Islam-
abad","Rawal-
pindi","Gujran-
wala","Sialkot","Lahore","Faisal-
abad","Sar-
godha","Multan","Baha-
walpur","Karachi","Hyder-
abad","Sukkur","Larkana","Pesha-
war","Bannu","Quetta","Khuz-
dar","Average Prices
Mar 15 Feb 15 Mar 14","","","%change Mar 15 over
Feb 15 Mar 14",""
"37.0","Lawn","1 mtr","227.5","210.0","205.0","205.0","261.07","240.0","360.0","150.0","146.5","360.0","215.0","280.0","333.0","360.0","167.5","180.0","165.0","239.15","239.15","198.76","0.0","20.32"
"38.0","Georgette","1 mtr","155.0","152.5","132.5","130.0","110.54","160.0","150.0","105.0","110.0","114.62","110.0","125.0","130.0","110.0","97.5","105.0","95.0","123.1","123.1","112.87","0.0","9.06"
"39.0","Sandal Bata (Gents)","Pair","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","0.0","0.0"
"40.0","Chappal Spounge Bata (Gents)","Pair","179.0","179.0","179.0","179.0","179.0","179.0","179.0","179.0","179.0","179.0","179.0","179.0","179.0","179.0","179.0","179.0","179.0","179.0","179.0","179.0","0.0","0.0"
"41.0","Sandal Bata (Ladies)","Pair","499.0","499.0","499.0","499.0","499.0","499.0","499.0","499.0","499.0","499.0","499.0","499.0","499.0","499.0","499.0","499.0","499.0","499.0","499.0","499.0","0.0","0.0"
"42.0","Elec. Charges, Upto 50 Units","Unit","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","0.0","0.0"
"43.0","Gas Charges, Upto 3.3719 MMBTU","MMBTU","124.18","124.18","124.18","124.18","124.18","124.18","124.18","124.18","124.18","124.18","124.18","124.18","124.18","124.18","","124.18","","124.18","124.18","124.18","0.0","0.0"
"44.0","Kerosene Oil","1 Ltr","85.0","85.0","80.5","90.0","73.0","75.0","85.0","80.0","84.0","101.85","90.0","82.5","90.0","86.17","90.0","72.0","85.0","84.41","84.71","126.68","-0.35","-33.37"
"45.0","Firewood Whole","40 Kg","787.5","741.67","700.0","675.0","802.5","600.0","475.0","545.0","620.0","556.15","425.0","400.0","400.0","670.0","490.0","525.0","400.0","577.22","577.22","556.64","0.0","3.7"
"46.0","Energy Saver (14 watts)","Each","167.5","167.5","155.0","155.0","170.0","162.5","170.0","165.0","175.0","170.0","160.0","155.0","175.0","180.0","160.0","180.0","150.0","165.74","165.51","163.82","0.14","1.17"
"47.0","Washing Soap, (Nylon), (SN)","Cake","25.0","25.0","16.0","20.0","40.0","25.0","40.0","22.0","20.0","14.0","25.0","19.5","20.0","20.0","22.5","30.0","30.0","24.35","24.35","23.72","0.0","2.66"
"48.0","Match Box, Regular","Each","1.0","1.0","2.0","2.0","1.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","1.0","1.5","1.74","1.74","1.5","0.0","16.0"
"49.0","Petrol, Super","1 Ltr","70.58","70.59","70.7","71.7","70.67","70.7","72.17","71.5","71.5","70.6","71.18","70.6","72.0","70.6","74.3","70.6","70.6","71.21","71.21","111.57","0.0","-36.17"
"50.0","Hi Speed Diesel (HSD)","1 Ltr","80.9","80.91","81.0","82.2","80.97","81.0","82.36","81.5","81.85","80.9","81.5","81.0","82.3","80.9","84.7","81.0","81.0","81.53","81.53","118.04","0.0","-30.93"
"51.0","LPG Cylinder, 11kg","Each","1320.0","1300.0","1058.75","1100.0","1045.0","1062.5","1087.5","1072.5","1155.0","990.0","1100.0","1100.0","1188.0","1210.0","1080.0","1581.25","1318.75","1162.9","1219.56","1460.46","-4.65","-20.37"
"52.0","Telephone Local Call","P/Call","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94","0.0","0.0"
"53.0","Soap, LifeBuoy","Each","36.0","36.0","36.0","36.0","36.0","36.0","36.0","36.0","36.0","36.0","36.0","36.0","36.0","36.0","36.0","36.0","36.0","36.0","36.0","36.0","0.0","0.0"
