"","","","","","","","Average Monthly Prices of 53 Essential Items for the month of December 2014","","","","","","","","","","","","","","","","",""
"10.0","Curd (Dahi)","1 Kg","105.0","93.75","88.5","80.0","83.04","80.0","74.0","85.0","70.0","120.0","106.0","90.0","95.0","80.0","82.5","100.0","90.0","89.58","89.52","81.12","0.07","10.43"
"11.0","Powdered Milk, Nido, Polybag","400 gm","350.0","350.0","350.0","350.0","350.0","350.0","350.0","350.0","350.0","350.0","350.0","350.0","350.0","350.0","350.0","350.0","350.0","350.0","350.0","298.68","0.0","17.18"
"12.0","Eggs Hen, Farm","Dozen","115.11","109.19","113.25","117.5","109.29","115.63","111.75","116.25","113.0","116.5","117.38","120.0","120.0","117.5","121.25","125.0","130.0","116.98","114.75","118.0","1.94","-0.86"
"13.0","Mustard Oil, Average Quality","1 Kg","240.0","232.5","151.25","160.0","183.21","195.0","190.0","172.5","160.0","169.04","160.0","147.5","200.0","221.67","183.75","190.0","190.0","185.08","185.53","185.44","-0.24","-0.19"
"14.0","Cooking Oil, Tin, (SN)","2.5 Ltr","517.5","515.0","545.0","545.0","523.75","545.0","512.5","515.0","520.0","526.25","520.0","545.0","530.0","520.0","540.0","540.0","550.0","530.0","536.47","537.21","-1.21","-1.34"
"15.0","Vegetable Ghee, Tin, (SN)","2.5 Kg","502.5","500.0","505.0","505.0","493.75","510.0","496.25","505.0","505.0","505.0","505.0","525.0","520.0","505.0","510.0","510.0","550.0","508.97","510.59","510.76","-0.32","-0.35"
"16.0","Vegetable Ghee (Loose)","1 Kg","162.19","158.72","141.25","142.5","150.4","138.06","141.25","153.5","151.25","160.39","155.0","156.25","145.0","156.46","165.0","190.0","170.0","155.13","158.04","161.94","-1.84","-4.21"
"17.0","Bananas","Dozen","106.41","90.0","53.75","62.5","64.64","55.0","45.0","67.5","53.13","56.35","46.25","42.5","47.5","57.5","60.0","58.75","57.5","60.25","61.8","53.8","-2.51","11.99"
"18.0","Pulse Masoor, Washed","1 Kg","148.75","137.08","160.0","120.0","151.96","165.94","150.0","137.5","140.0","128.08","128.13","140.0","125.63","127.92","133.75","146.25","107.5","138.15","136.01","121.51","1.57","13.69"
"19.0","Pulse Moong, Washed","1 Kg","180.0","163.44","165.0","160.0","161.07","166.25","153.75","162.5","170.0","163.08","162.5","165.0","155.0","159.17","160.0","183.75","140.0","162.97","159.03","134.13","2.48","21.5"
"20.0","Pulse Mash, Washed","1 Kg","175.0","162.5","170.0","175.0","176.96","168.75","160.0","157.5","170.0","153.08","150.0","150.0","148.13","162.33","152.5","181.25","132.5","161.5","162.89","132.58","-0.85","21.81"
"21.0","Pulse Gram, Washed","1 Kg","87.5","76.98","70.0","72.5","72.32","75.44","67.5","69.17","77.5","83.08","72.5","75.0","73.75","84.8","73.75","96.25","80.0","76.94","76.63","72.94","0.4","5.48"
"22.0","Potatoes","1 Kg","51.49","46.88","40.0","40.0","40.76","34.06","31.88","37.5","40.0","34.81","38.44","31.25","31.88","40.73","40.63","33.75","47.5","38.92","60.07","38.77","-35.21","0.39"
"23.0","Onions","1 Kg","37.35","32.5","20.63","22.5","23.49","20.94","16.88","19.0","22.5","21.54","18.75","20.0","20.0","30.63","21.25","25.0","28.5","23.62","31.17","45.53","-24.22","-48.12"
"24.0","Tomatoes","1 Kg","72.81","65.73","65.0","63.75","62.23","56.88","58.75","54.79","58.75","47.89","49.38","45.0","58.75","53.33","55.63","52.5","50.0","57.13","46.81","56.6","22.05","0.94"
"25.0","Sugar, Refined","1 Kg","58.28","55.44","53.25","54.88","55.63","53.81","53.0","51.75","52.5","55.42","53.5","51.0","53.25","55.29","53.25","52.75","57.0","54.12","56.78","54.12","-4.68","0.0"
"26.0","Gur, Average Quality","1 Kg","107.5","95.0","77.5","80.0","93.79","80.31","72.5","70.0","66.25","83.95","82.5","66.25","69.38","82.71","88.13","85.0","85.0","81.52","84.71","81.69","-3.77","-0.21"
"27.0","Salt Powder, Loose, Lahori","1 Kg","11.0","10.83","10.0","10.0","10.0","10.0","10.0","9.0","10.0","12.0","10.0","9.0","10.0","10.0","8.0","10.0","10.0","9.99","9.99","9.25","0.0","8.0"
"28.0","Red Chilly Powder, Loose","1 Kg","307.5","295.83","280.0","260.0","276.43","270.0","285.0","255.0","210.0","307.69","297.5","250.0","225.0","229.17","280.0","290.0","200.0","265.83","264.91","217.42","0.35","22.27"
"29.0","Garlic","1 Kg","185.0","184.17","130.0","120.0","161.61","113.75","118.75","125.0","122.5","161.92","125.0","110.0","111.25","148.33","151.88","120.0","150.0","137.6","136.08","137.62","1.12","-0.01"
"30.0","Tea, Lipton Yellow Label, Packet","200 gm","129.21","129.21","128.42","128.42","128.42","128.42","128.5","128.42","128.42","128.42","128.42","124.21","128.42","128.42","128.42","124.21","124.21","127.77","127.68","158.59","0.07","-19.43"
"31.0","Cooked Beef, Average Hotel","Plate","88.75","85.83","60.0","62.5","78.04","75.0","95.0","70.0","65.0","71.54","65.0","100.0","70.0","113.33","90.0","80.0","140.0","82.94","82.38","78.33","0.68","5.89"
"32.0","Cooked Daal, Average Hotel","Plate","62.5","55.83","35.0","32.5","51.07","42.5","40.0","40.0","40.0","53.08","41.25","50.0","60.0","60.0","47.5","60.0","60.0","48.9","47.9","45.53","2.09","7.4"
"33.0","Tea Prepared, Average Hotel","Cup","20.0","20.0","17.5","15.0","19.93","20.0","18.5","20.0","15.0","16.54","20.0","20.0","22.5","15.0","15.0","21.0","20.0","18.59","18.59","17.04","0.0","9.1"
"34.0","Cigarettes, K-2, 20's","Packet","45.0","45.0","45.0","50.0","45.0","45.0","48.0","43.0","45.0","45.0","46.0","45.0","45.0","45.0","45.0","50.0","40.0","45.41","45.41","38.06","0.0","19.31"
"35.0","Long Cloth","1 mtr","185.0","175.0","137.5","135.0","247.14","237.5","225.0","250.0","180.0","170.0","210.0","230.0","200.0","300.0","150.0","170.0","190.0","199.54","199.54","172.65","0.0","15.57"
"36.0","Shirting","1 mtr","172.5","165.0","175.0","175.0","118.57","125.0","140.0","210.0","115.0","138.08","130.0","120.0","130.0","270.83","130.0","160.0","190.0","156.76","156.76","143.44","0.0","9.29"
"37.0","Lawn","1 mtr","227.5","210.0","205.0","205.0","261.07","240.0","360.0","150.0","146.5","360.0","215.0","280.0","333.0","360.0","167.5","180.0","165.0","239.15","239.15","189.8","0.0","26.0"
"38.0","Georgette","1 mtr","155.0","152.5","132.5","130.0","110.54","160.0","150.0","105.0","110.0","114.62","110.0","125.0","130.0","110.0","97.5","105.0","95.0","123.1","123.1","110.86","0.0","11.04"
"39.0","Sandal Bata (Gents)","Pair","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","674.0","0.0","3.71"
"40.0","Chappal Spounge Bata (Gents)","Pair","179.0","179.0","179.0","179.0","179.0","179.0","179.0","179.0","179.0","179.0","179.0","179.0","179.0","179.0","179.0","179.0","179.0","179.0","179.0","179.0","0.0","0.0"
"41.0","Sandal Bata (Ladies)","Pair","499.0","499.0","499.0","499.0","499.0","499.0","499.0","499.0","499.0","499.0","499.0","499.0","499.0","499.0","499.0","499.0","499.0","499.0","499.0","499.0","0.0","0.0"
"42.0","Elec. Charges, Upto 50 Units","Unit","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","0.0","0.0"
"43.0","Gas Charges, Upto 3.3719 MMBTU","MMBTU","124.18","124.18","124.18","124.18","124.18","124.18","124.18","124.18","124.18","124.18","124.18","124.18","124.18","124.18","","124.18","","124.18","124.18","124.18","0.0","0.0"
"44.0","Kerosene Oil","1 Ltr","105.0","100.0","101.5","110.0","95.5","88.5","95.0","101.0","105.0","113.85","110.0","97.0","120.0","105.83","114.0","94.0","99.5","103.28","109.16","126.72","-5.39","-18.5"
"45.0","Firewood Whole","40 Kg","762.5","683.33","700.0","637.5","731.43","600.0","475.0","545.0","565.0","533.08","425.0","400.0","400.0","675.0","490.0","525.0","400.0","561.64","558.89","538.79","0.49","4.24"
"46.0","Energy Saver (14 watts)","Each","167.5","167.5","155.0","155.0","165.0","162.5","170.0","165.0","175.0","170.0","160.0","155.0","175.0","180.0","160.0","180.0","150.0","165.44","165.44","162.28","0.0","1.95"
"47.0","Washing Soap, (Nylon), (SN)","Cake","25.0","25.0","16.0","20.0","40.0","25.0","40.0","22.0","20.0","14.0","25.0","19.5","20.0","20.0","22.5","30.0","30.0","24.35","24.35","23.56","0.0","3.35"
"48.0","Match Box, Regular","Each","1.0","1.0","2.0","2.0","1.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","1.0","1.5","1.74","1.74","1.49","0.0","16.78"
"49.0","Petrol, Super","1 Ltr","84.82","84.84","85.0","85.5","84.91","84.8","86.81","84.9","85.3","84.83","85.6","84.9","85.3","84.8","88.6","84.9","87.4","85.48","95.24","114.09","-10.25","-25.08"
"50.0","Hi Speed Diesel (HSD)","1 Ltr","94.4","94.4","94.5","95.2","94.45","94.5","96.2","94.6","94.8","94.39","95.1","94.4","94.7","94.4","98.2","94.4","97.0","95.04","102.3","118.04","-7.1","-19.48"
"51.0","LPG Cylinder, 11kg","Each","1675.0","1657.5","1581.25","1650.0","1650.0","1506.25","1556.25","1660.0","1691.25","1345.39","1388.75","1515.0","1430.0","1650.0","1485.0","1650.0","1500.0","1564.21","1513.62","1550.08","3.34","0.91"
"52.0","Telephone Local Call","P/Call","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94","0.0","0.0"
"53.0","Soap, LifeBuoy","Each","36.0","36.0","36.0","36.0","36.0","36.0","36.0","36.0","36.0","36.0","36.0","36.0","36.0","36.0","36.0","36.0","36.0","36.0","36.0","36.0","0.0","0.0"
