"","","","","","","","Average Monthly Prices of 53 Essential Items for the month of August 2018","","","","","","","","","","","","","","","","",""
"28.0","Red Chilly Powder, Loose","1 Kg","401.25","380.0","310.0","320.0","330.71","385.0","460.0","277.08","290.0","409.91","367.5","250.0","260.0","347.08","395.0","310.0","290.0","340.21","345.63","260.16","-1.57","30.77"
"29.0","Garlic","1 Kg","180.0","123.75","118.75","118.75","134.11","110.0","105.0","107.5","110.0","152.17","105.0","100.0","78.75","160.0","131.25","132.5","136.25","123.75","121.87","192.96","1.54","-35.87"
"30.0","Tea, Lipton Yellow Label, Packet","200 gm","205.26","205.26","205.26","205.26","205.45","205.26","205.26","205.26","205.0","205.26","205.26","194.73","197.36","205.26","205.26","205.26","194.73","203.55","201.99","193.78","0.77","5.04"
"31.0","Cooked Beef, Average Hotel","Plate","126.1","116.56","120.0","130.0","115.0","135.0","120.0","100.0","125.0","98.85","91.25","100.0","100.0","120.0","105.0","90.0","140.0","113.69","111.89","93.52","1.61","21.57"
"32.0","Cooked Daal, Average Hotel","Plate","83.44","75.83","45.0","60.0","67.32","55.0","50.0","40.0","60.0","61.54","60.0","70.0","65.0","60.0","50.0","65.0","80.0","61.65","61.38","57.18","0.44","7.82"
"33.0","Tea Prepared, Average Hotel","Cup","22.5","22.5","20.0","20.0","20.36","22.5","20.0","20.0","22.5","23.27","25.0","25.0","27.5","15.0","20.0","21.0","20.0","21.6","21.48","21.1","0.56","2.37"
"34.0","Cigarettes, K-2, 20's","Packet","50.0","50.0","50.0","50.0","50.0","50.0","50.0","50.0","50.0","53.75","50.0","50.0","50.0","55.0","60.0","50.0","50.0","51.1","51.18","50.76","-0.16","0.67"
"35.0","Long Cloth","1 mtr","225.0","215.0","172.5","160.0","267.5","237.5","245.0","260.0","250.0","180.0","240.0","300.0","200.0","333.33","250.0","210.0","195.0","231.81","231.81","212.3","0.0","9.19"
"36.0","Shirting","1 mtr","225.63","220.0","185.0","180.0","155.0","125.0","150.0","240.0","120.0","166.15","140.0","175.0","157.5","300.0","147.5","160.0","190.0","178.63","178.63","169.32","0.0","5.5"
"37.0","Lawn","1 mtr","240.0","220.0","217.5","220.0","305.0","280.0","393.34","200.0","383.5","415.0","280.0","375.0","366.66","393.0","235.0","200.0","165.0","287.59","287.59","255.77","0.0","12.44"
"38.0","Georgette","1 mtr","165.0","162.92","160.0","140.0","135.0","160.0","140.0","105.0","110.0","121.54","120.0","150.0","130.0","123.33","100.0","105.0","117.5","132.08","132.08","125.56","0.0","5.19"
"39.0","Sandal Bata (Gents)","Pair","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","0.0","0.0"
"40.0","Chappal Spounge Bata (Gents)","Pair","199.0","199.0","199.0","199.0","199.0","199.0","199.0","199.0","199.0","199.0","199.0","199.0","199.0","199.0","199.0","199.0","199.0","199.0","199.0","179.09","0.0","11.12"
"41.0","Sandal Bata (Ladies)","Pair","599.0","599.0","599.0","599.0","599.0","599.0","599.0","599.0","599.0","599.0","599.0","599.0","599.0","599.0","599.0","599.0","599.0","599.0","599.0","502.39","0.0","19.23"
"42.0","Elec. Charges, Upto 50 Units","Unit","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","0.0","0.0"
"43.0","Gas Charges, Upto 3.3719 MMBTU","MMBTU","128.7","128.7","128.7","128.7","128.7","128.7","128.7","128.7","128.7","128.7","128.7","128.7","128.7","128.7","128.7","128.7","","128.7","128.7","128.7","0.0","0.0"
"44.0","Kerosene Oil","1 Ltr","137.5","135.0","120.0","125.0","125.0","118.0","120.0","115.0","130.0","134.42","125.0","120.0","140.0","118.33","120.0","97.0","100.0","122.37","122.83","78.88","-0.37","55.13"
"45.0","Firewood Whole","40 Kg","787.5","741.67","750.0","700.0","764.29","600.0","550.0","646.67","625.0","651.92","550.0","400.0","450.0","729.17","500.0","650.0","550.0","626.25","626.25","609.09","0.0","2.82"
"46.0","Energy Saver (14 watts)","Each","167.5","167.5","170.0","155.0","170.0","165.0","180.0","165.0","175.0","180.0","200.0","155.0","180.0","180.0","170.0","180.0","150.0","171.18","171.18","167.79","0.0","2.02"
"47.0","Washing Soap, (Nylon), (SN)","Cake","27.5","27.5","40.0","22.0","40.86","25.0","40.0","22.0","20.0","14.0","30.0","26.0","30.0","20.0","22.5","30.0","40.0","28.08","27.77","25.91","1.12","8.38"
"48.0","Match Box, Regular","Each","2.0","2.0","2.0","2.0","3.0","2.5","3.0","3.0","2.5","2.0","2.0","2.5","2.88","2.0","3.0","2.0","1.5","2.35","2.32","2.21","1.29","6.33"
"49.0","Petrol, Super","1 Ltr","95.68","95.68","95.7","97.5","95.6","95.7","96.1","95.69","96.55","95.68","96.37","95.68","96.6","95.7","97.6","95.55","98.42","96.22","97.25","70.62","-1.06","36.25"
"50.0","Hi Speed Diesel (HSD)","1 Ltr","113.43","113.42","113.5","114.7","113.29","113.4","113.5","113.46","114.4","113.48","114.19","113.43","113.9","113.4","115.4","113.24","116.42","113.92","115.47","78.77","-1.34","44.62"
"51.0","LPG Cylinder, 11kg","Each","1575.0","1552.5","1471.25 1457.50 1505.63","","","1450.0","1450.0","1560.0","1650.0","1485.0","1540.0","1457.5","1545.5","1540.0","1502.5","1425.0","1275.0","1496.61 1292.79 1127.32","","","15.77","32.76"
"52.0","Telephone Local Call","P/Call","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94","0.0","0.0"
"53.0","Soap, LifeBuoy","Each","40.5","40.5","39.5","39.0","38.5","42.0","42.0","40.0","40.0","39.54","40.0","40.0","40.0","39.0","40.0","42.0","42.0","40.27","39.69","41.65","1.46","-3.31"
