"","","","","","","","Average Monthly Prices of 53 Items for the month of January 2018","","","","","","","","","","","","","","","","",""
"S.
No.","Description","Unit","Islam-
abad","Rawal-
pindi","Gujran-
wala","Sialkot","Lahore","Faisal-
abad","Sar-
godha","Multan","Baha-
walpur","Karachi","Hyder-
abad","Sukkur","Larkana","Pesha-
war","Bannu","Quetta","Khuz-
dar","Average Prices
Jan 18 Dec 17 Jan 17","","","%change Jan 18 over
Dec 17 Jan 17",""
"37.0","Lawn Printed, (SN)","1 mtr","240.0","220.0","205.0","205.0","305.0","240.0","360.0","150.0","169.0","415.0","280.0","280.0","366.66","360.0","187.5","200.0","165.0","255.77","255.77","251.21","0.0","1.82"
"38.0","Georgette, (AQ), (SN)","1 mtr","155.0","152.5","132.5","130.0","135.0","160.0","140.0","105.0","110.0","121.54","120.0","125.0","130.0","120.83","100.0","105.0","95.0","125.73","125.68","124.13","0.04","1.29"
"39.0","Gents Sandal, Bata","Pair","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","0.0","0.0"
"40.0","Gents Chappal Spng, Bata","Pair","179.0","179.0","179.0","179.0","179.0","179.0","179.0","179.0","179.0","180.54","179.0","179.0","179.0","179.0","179.0","179.0","179.0","179.09","179.09","179.09","0.0","0.0"
"41.0","Ladies Sandal, Bata","Pair","499.0","499.0","499.0","499.0","499.0","499.0","499.0","499.0","549.0","506.69","499.0","499.0","499.0","499.0","499.0","499.0","499.0","502.39","502.39","502.39","0.0","0.0"
"42.0","Elec. Charges, Upto 50 Units","Unit","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","0.0","0.0"
"43.0","Gas Charges, Upto 3.3719 MMBTU","MMBTU","128.7","128.7","128.7","128.7","128.7","128.7","128.7","128.7","128.7","128.7","128.7","128.7","128.7","128.7","128.7","128.7","","128.7","128.7","128.7","0.0","0.0"
"44.0","Kerosene Oil","1 Ltr","120.0","115.0","105.0","105.0","120.0","90.0","100.0","95.0","110.0","121.15","96.0","100.0","120.0","105.0","100.0","77.0","76.0","103.24","95.81","77.86","7.75","32.6"
"45.0","Firewood Whole","40 Kg","787.5","741.67","737.5","700.0","810.71","600.0","550.0","690.0","625.0","651.92","550.0","400.0","450.0","729.17","500.0","650.0","500.0","627.85","623.75","608.9","0.66","3.11"
"46.0","Energy Saver","Each","167.5","167.5","155.0","155.0","170.0","162.5","180.0","165.0","175.0","180.0","200.0","155.0","180.0","180.0","160.0","180.0","150.0","169.56","169.56","167.79","0.0","1.05"
"47.0","Washing Soap, (Nylon), (SN)","Cake","25.0","25.0","16.0","20.0","40.0","25.0","40.0","22.0","20.0","14.0","25.0","26.0","30.0","20.0","22.5","30.0","40.0","25.91","25.91","25.91","0.0","0.0"
"48.0","Match Box, Regular","Each","2.0","2.0","2.0","2.0","2.5","2.5","3.0","2.0","2.5","2.0","2.0","2.5","2.5","2.0","3.0","2.0","1.5","2.24","2.23","2.18","0.45","2.75"
"49.0","Petrol, Super","1 Ltr","81.96","81.96","81.97","83.6","81.89","81.96","82.09","82.65","83.04","81.95","82.65","81.96","82.1","81.96","83.7","81.84","83.98","82.43","78.32","67.92","5.25","21.36"
"50.0","Hi Speed Diesel (HSD)","1 Ltr","90.37","90.37","90.38","91.7","90.26","90.37","90.51","90.99","91.6","90.36","91.07","90.37","90.06","90.37","91.48","90.21","92.66","90.77","86.93","77.13","4.42","17.68"
"51.0","LPG Cylinder, 11kg","Each","1530.0","1500.0","1306.25","1430.0","1333.75","1362.5","1325.0","1305.0","1402.5","1292.5","1402.5","1430.0","1430.0","1430.0","1325.0","1350.00 1325.00","","1381.18 1389.34 1162.46","","","-0.59","18.82"
"52.0","Telephone Local Call","P/Call","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94","0.0","0.0"
"53.0","Soap, LifeBuoy","Each","42.0","42.0","42.0","42.0","42.0","42.0","42.0","42.0","38.0","41.0","37.75","41.0","40.0","42.0","40.0","42.0","42.0","41.16","41.76","37.62","-1.44","9.41"
