"7/1/2014 12:51 PM","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","Average Monthly Prices of 53 Essential Items for the month of June 2014","","","","","","","","","","","","","","",""
"S.
No.","Description","Unit","Islam-
abad","Rawal-
pindi","Gujran-
wala","Sialkot","Lahore","Faisal-
abad","Sar-
godha","Multan","Baha-
walpur","Karachi","Hyder-
abad","Sukkur","Larkana","Pesha-war","Bannu","Quetta","Khuzdar","Average Prices
May 14","June 13","June 14","%change June 14 over
May 14 June 13",""
"42.0","Electricity Charges, Upto 50 Units","Unit","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","0.0","0.0"
"43.0","Gas Charges, Upto 3.3719 MMBTU","MMBTU","124.18","124.18","124.18","124.18","124.18","124.18","124.18","124.18","124.18","124.18","124.18","124.18","124.18","124.18","","124.18","","124.18","124.18","123.12","0.0","0.86"
"44.0","Kerosene Oil","1 Ltr","126.25","126.25","120.5","121.0","109.5","103.0","110.0","115.5","119.0","123.54","125.0","114.0","130.0","116.17","125.0","108.0","125.0","118.69","118.69","114.82","0.0","3.37"
"45.0","Firewood Whole","40 kg","762.5","683.33","700.0","600.0","703.21","600.0","475.0","545.0","565.0","513.08","400.0","400.0","400.0","662.5","490.0","525.0","400.0","554.39","555.76","505.95","-0.25","9.57"
"46.0","Energy Saver (14 watts)","Each","167.5","167.5","155.0","155.0","165.0","162.5","165.0","165.0","175.0","170.0","160.0","155.0","175.0","180.0","160.0","180.0","150.0","165.15","164.85","158.74","0.18","4.04"
"47.0","Washing Soap, 200-250 g, Specify Name","Cake","24.38","24.38","16.0","20.0","40.0","25.0","38.0","22.0","19.0","14.0","25.0","19.5","20.0","20.0","20.0","30.0","30.0","23.96","23.74","22.16","0.93","8.12"
"48.0","Match Box, Regular","Each","1.0","1.0","1.0","1.0","1.0","1.5","2.0","2.0","2.0","2.0","2.0","2.0","2.0","1.5","1.5","1.0","1.5","1.53","1.53","1.15","0.0","33.04"
"49.0","Petrol, Super","1 Ltr","108.35","108.35","108.4","108.4","108.36","108.4","110.2","109.6","110.9","108.3","108.9","108.5","110.9","108.4","112.0","109.3","113.6","109.46","109.46","101.41","0.0","7.94"
"50.0","Hi Speed Diesel (HSP)","1 Ltr","109.7","109.7","109.8","109.8","109.7","109.7","111.5","110.9","112.15","109.67","110.4","109.8","112.6","109.7","113.5","110.6","114.8","110.82","110.82","106.14","0.0","4.41"
"51.0","LPG Cylinder, 11kg","Each","1270.0","1255.0","1168.75","1333.75","1127.5","1212.5","1206.25","1200.0","1320.0","990.0","1100.0","1320.0","1243.0","1430.0","1192.5","1500.0","1350.0","1248.19","1254.59","1464.28","-0.51","-14.76"
"52.0","Telephone Local Call Charges, 3 Minutes","P/Call","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94","0.0","0.0"
"53.0","Soap, LifeBuoy","Each","36.0","36.0","36.0","36.0","36.0","36.0","36.0","36.0","36.0","36.0","36.0","36.0","36.0","36.0","36.0","36.0","36.0","36.0","36.0","34.25","0.0","5.11"
