"","","","","","","","","Average Monthly Prices of 53 Items for the Month of November 2016","","","","","","","","","","","","","","","",""
"S.
No.","Description","Unit","Islam-
abad","Rawal-
pindi","Gujran-
wala","Sialkot","Lahore","Faisal-
abad","Sar-
godha","Multan","Baha-
walpur","Karachi","Hyder-
abad","Sukkur","Larkana","Pesha-
war","Bannu","Quetta","Khuz-
dar","Average Prices
Nov 16 Oct 16 Nov 15","","","%change November 2016 over Oct
16 Nov 15",""
"41.0","Ladies Sandal, Bata","Pair","499.0","499.0","499.0","499.0","499.0","499.0","499.0","499.0","549.0","506.69","499.0","499.0","499.0","499.0","499.0","499.0","499.0","502.39","502.39","499.0","0.0","0.68"
"42.0","Elec. Charges, Upto 50 Units","Unit","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","0.0","0.0"
"43.0","Gas Charges, Upto 3.3719 MMBTU","MMBTU","128.7","128.7","128.7","128.7","128.7","128.7","128.7","128.7","128.7","128.7","128.7","128.7","128.7","128.7","128.7","128.7","","128.7","128.7","128.7","0.0","0.0"
"44.0","Kerosene Oil","1 Ltr","98.75","95.0","75.0","77.0","90.0","69.0","75.0","67.5","66.0","97.12","80.0","69.5","85.0","75.0","85.0","55.0","50.0","77.05","77.05","84.31","0.0","-8.61"
"45.0","Firewood Whole","40 Kg","787.5","741.67","687.5","650.0","720.0","600.0","500.0","606.67","625.0","640.39","550.0","400.0","412.5","704.17","490.0","625.0","475.0","600.91","598.05","590.0","0.48","1.85"
"46.0","Energy Saver","Each","167.5","167.5","155.0","155.0","170.0","162.5","175.0","165.0","175.0","170.0","190.0","155.0","175.0","180.0","160.0","180.0","150.0","167.79","167.79","166.62","0.0","0.7"
"47.0","Washing Soap, (Nylon), (SN)","Cake","25.0","25.0","16.0","20.0","40.0","25.0","40.0","22.0","20.0","14.0","25.0","26.0","30.0","20.0","22.5","30.0","40.0","25.91","25.91","24.74","0.0","4.73"
"48.0","Match Box, Regular","Each","2.0","2.0","2.0","2.0","2.0","2.5","2.5","2.0","2.5","2.0","2.0","2.5","2.5","2.0","2.5","1.0","1.5","2.09","2.09","1.96","0.0","6.63"
"49.0","Petrol, Super","1 Ltr","64.53","64.53","64.61","66.25","64.63","64.48","64.8","64.99","65.45","64.48","64.95","64.48","66.1","64.48","67.1","64.5","66.78","65.13","65.13","77.17","0.0","-15.6"
"50.0","Hi Speed Diesel (HSD)","1 Ltr","72.81","72.81","72.85","74.6","72.88","72.73","72.95","72.99","74.1","72.73","73.3","72.73","74.3","72.73","75.7","72.8","75.62","73.45","73.45","84.75","0.0","-13.33"
"51.0","LPG Cylinder, 11kg","Each","1272.5","1247.5","1072.5","1155.0","1058.75","1212.5","1156.25","1225.0","1155.0","1100.0","1155.0","1182.5","1155.0","1251.25","1145.0","1268.75","1062.5","1169.12","1076.54","1105.29","8.6","5.77"
"52.0","Telephone Local Call","P/Call","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94","0.0","0.0"
"53.0","Soap, LifeBuoy","Each","37.0","37.0","37.0","37.0","37.0","37.0","37.0","37.0","37.0","37.0","37.0","37.0","37.0","37.0","36.0","36.0","36.0","36.82","36.82","36.71","0.0","0.3"
