"","","","","","","","Average Monthly Prices of 53 Essential Items for the month of November 2015","","","","","","","","","","","","","","","","",""
"27.0","Salt Powder, Loose, Lahori","1 Kg","12.0","12.0","10.0","10.0","10.0","10.0","10.0","10.0","12.0","12.0","10.0","9.0","10.0","10.0","10.0","10.0","10.0","10.41","10.4","9.99","0.1","4.2"
"28.0","Red Chilly Powder, Loose","1 Kg","326.25","313.33","265.0","248.75","252.14","255.0","287.5","225.0","210.0","326.15","279.38","265.0","238.75","230.0","277.5","310.0","296.25","270.94","273.46","264.91","-0.92","2.28"
"29.0","Garlic","1 Kg","213.75","205.0","177.5","180.0","203.21","176.25","177.5","179.17","195.0","255.24","160.0","168.75","160.0","192.5","191.25","168.75","150.0","185.52","179.26","136.08","3.49","36.33"
"30.0","Tea, Lipton Yellow Label, Packet","200 gm","189.47","189.47","189.47","189.47","189.47","189.47","189.47","189.47","189.47","189.47","189.47","189.47","189.47","189.47","189.48","185.96","189.47","189.26","180.46","127.68","4.88","48.23"
"31.0","Cooked Beef, Average Hotel","Plate","92.5","90.83","62.5","62.5","78.04","75.0","100.0","70.0","70.0","75.58","75.94","100.0","72.5","120.0","90.0","80.0","140.0","85.61","84.83","82.38","0.92","3.92"
"32.0","Cooked Daal, Average Hotel","Plate","67.5","60.83","37.5","36.25","51.07","42.5","40.0","40.0","50.0","53.08","51.88","50.0","60.0","60.0","47.5","60.0","80.0","52.24","50.84","47.9","2.75","9.06"
"33.0","Tea Prepared, Average Hotel","Cup","20.0","20.0","18.75","17.5","19.93","20.0","20.0","20.0","15.0","21.73","20.0","20.0","22.5","15.0","20.0","21.0","20.0","19.49","19.07","18.59","2.2","4.84"
"34.0","Cigarettes, K-2, 20's","Packet","55.0","55.0","55.0","55.0","52.0","50.0","60.0","52.0","52.0","55.0","55.0","55.0","55.0","55.0","50.0","60.0","60.0","54.76","54.76","45.41","0.0","20.59"
"35.0","Long Cloth","1 mtr","205.0","195.0","137.5","135.0","247.14","237.5","235.0","250.0","180.0","170.0","210.0","230.0","200.0","300.0","155.0","170.0","190.0","202.77","202.77","199.54","0.0","1.62"
"36.0","Shirting","1 mtr","182.5","175.0","175.0","175.0","118.57","125.0","140.0","210.0","115.0","166.15","140.0","120.0","130.0","283.33","147.5","160.0","190.0","161.94","161.94","156.76","0.0","3.3"
"37.0","Lawn","1 mtr","240.0","220.0","205.0","205.0","261.07","240.0","360.0","150.0","150.0","360.0","240.0","280.0","333.0","360.0","182.5","180.0","165.0","243.03","243.03","239.15","0.0","1.62"
"38.0","Georgette","1 mtr","155.0","152.5","132.5","130.0","110.54","160.0","150.0","105.0","110.0","114.62","110.0","125.0","130.0","110.0","97.5","105.0","95.0","123.1","123.1","123.1","0.0","0.0"
"39.0","Sandal Bata (Gents)","Pair","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","0.0","0.0"
"40.0","Chappal Spounge Bata (Gents)","Pair","179.0","179.0","179.0","179.0","179.0","179.0","179.0","179.0","179.0","179.0","179.0","179.0","179.0","179.0","179.0","179.0","179.0","179.0","179.0","179.0","0.0","0.0"
"41.0","Sandal Bata (Ladies)","Pair","499.0","499.0","499.0","499.0","499.0","499.0","499.0","499.0","499.0","499.0","499.0","499.0","499.0","499.0","499.0","499.0","499.0","499.0","499.0","499.0","0.0","0.0"
"42.0","Elec. Charges, Upto 50 Units","Unit","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","0.0","0.0"
"43.0","Gas Charges, Upto 3.3719 MMBTU","MMBTU","128.7","128.7","128.7","128.7","128.7","128.7","128.7","128.7","128.7","128.7","128.7","128.7","128.7","128.7","","128.7","","128.7","128.7","124.18","0.0","3.64"
"44.0","Kerosene Oil","1 Ltr","102.5","100.0","78.0","89.0","69.0","72.0","81.25","78.0","80.0","98.85","90.0","78.5","101.25","84.92","92.0","68.0","70.0","84.31","83.68","109.16","0.75","-22.76"
"45.0","Firewood Whole","40 Kg","787.5","741.67","700.0","675.0","802.5","600.0","500.0","555.0","621.25","615.38","450.0","400.0","425.0","691.67","490.0","525.0","450.0","590.0","586.71","558.89","0.56","5.57"
"46.0","Energy Saver (14 watts)","Each","167.5","167.5","155.0","155.0","170.0","162.5","175.0","165.0","175.0","170.0","170.0","155.0","175.0","180.0","160.0","180.0","150.0","166.62","166.62","165.44","0.0","0.71"
"47.0","Washing Soap, (Nylon), (SN)","Cake","25.0","25.0","16.0","20.0","40.0","25.0","40.0","22.0","20.0","14.0","25.0","26.0","20.0","20.0","22.5","30.0","30.0","24.74","24.74","24.35","0.0","1.6"
"48.0","Match Box, Regular","Each","2.0","2.0","2.0","2.0","1.0","2.5","2.5","2.0","2.5","2.0","2.0","2.13","2.25","2.0","2.0","1.0","1.5","1.96","1.94","1.74","1.03","12.64"
"49.0","Petrol, Super","1 Ltr","76.55","76.55","76.7","78.2","76.61","76.54","78.14","76.95","77.8","76.54","77.2","76.6","77.9","76.55","79.9","76.6","76.6","77.17","74.56","95.24","3.5","-18.97"
"50.0","Hi Speed Diesel (HSD)","1 Ltr","84.15","84.15","84.3","85.9","84.15","84.13","85.55","84.75","85.5","84.13","84.8","84.2","85.5","84.14","87.0","84.2","84.2","84.75","82.87","102.3","2.27","-17.16"
"51.0","LPG Cylinder, 11kg","Each","1280.0","1260.0","1031.25","1155.0","1003.75","1087.5","1075.0","1100.0","1155.0","962.5","962.5","1100.0","1067.0","1150.42","1062.5","1250.0","1087.5","1105.29","1087.47","1513.62","1.64","-26.98"
"52.0","Telephone Local Call","P/Call","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94","0.0","0.0"
"53.0","Soap, LifeBuoy","Each","37.0","37.0","37.0","37.0","36.0","37.0","37.0","37.0","37.0","37.0","37.0","37.0","36.0","37.0","36.0","36.0","36.0","36.71","36.68","36.0","0.08","1.97"
