"S.
No.","Description","Unit","Islam-
abad","Rawal-
pindi","Gujran-
wala","Sialkot","Lahore","Faisal-
abad","Sar-
godha","Multan","Baha-
walpur","Karachi","Hyder-
abad","Sukkur","Larkana","Pesha-
war","Bannu","Quetta","Khuz-
dar","Average Prices
Feb 18 Jan 18 Feb 17","","","%change Feb 18 over
Jan 18 Feb 17",""
"38.0","Georgette, (AQ), (SN)","1 mtr","160.0","157.71","132.5","130.0","135.0","160.0","140.0","105.0","110.0","121.54","120.0","125.0","130.0","120.0","100.0","105.0","100.63","126.61","125.73","124.13","0.7","2.0"
"39.0","Gents Sandal, Bata","Pair","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","0.0","0.0"
"40.0","Gents Chappal Spng, Bata","Pair","179.0","179.0","179.0","179.0","179.0","179.0","179.0","179.0","179.0","180.54","179.0","179.0","179.0","179.0","179.0","179.0","179.0","179.09","179.09","179.09","0.0","0.0"
"41.0","Ladies Sandal, Bata","Pair","499.0","499.0","499.0","499.0","499.0","499.0","499.0","499.0","549.0","506.69","499.0","499.0","499.0","499.0","499.0","499.0","499.0","502.39","502.39","502.39","0.0","0.0"
"42.0","Elec. Charges, Upto 50 Units","Unit","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","0.0","0.0"
"43.0","Gas Charges, Upto 3.3719 MMBTU","MMBTU","128.7","128.7","128.7","128.7","128.7","128.7","128.7","128.7","128.7","128.7","128.7","128.7","128.7","128.7","128.7","128.7","","128.7","128.7","128.7","0.0","0.0"
"44.0","Kerosene Oil","1 Ltr","125.0","121.25","110.0","111.0","120.0","100.0","106.0","100.0","120.0","126.92","102.0","108.0","125.0","110.0","105.0","83.0","82.0","109.13","103.24","77.97","5.71","39.96"
"45.0","Firewood Whole","40 Kg","787.5","741.67","775.0","700.0","810.71","600.0","550.0","690.0","625.0","651.92","550.0","400.0","450.0","729.17","500.0","650.0","550.0","633.0","627.85","612.21","0.82","3.4"
"46.0","Energy Saver","Each","167.5","167.5","155.0","155.0","170.0","162.5","180.0","165.0","175.0","180.0","200.0","155.0","180.0","180.0","160.0","180.0","150.0","169.56","169.56","167.79","0.0","1.05"
"47.0","Washing Soap, (Nylon), (SN)","Cake","25.0","25.0","16.0","20.0","40.0","25.0","40.0","22.0","20.0","14.0","25.0","26.0","30.0","20.0","22.5","30.0","40.0","25.91","25.91","25.91","0.0","0.0"
"48.0","Match Box, Regular","Each","2.0","2.0","2.0","2.0","2.63","2.5","3.0","2.0","2.5","2.0","2.0","2.5","2.5","2.0","3.0","2.0","1.5","2.24","2.24","2.18","0.0","2.75"
"49.0","Petrol, Super","1 Ltr","84.94","84.94","84.96","86.6","84.87","84.95","85.08","85.63","85.86","84.93","85.63","84.94","85.2","84.94","86.7","84.82","87.61","85.45","82.43","71.62","3.66","19.31"
"50.0","Hi Speed Diesel (HSD)","1 Ltr","96.29","96.29","96.31","97.6","96.18","96.3","96.43","96.85","97.34","96.28","97.0","96.3","96.7","96.29","98.3","96.13","99.16","96.81","90.77","80.87","6.65","19.71"
"51.0","LPG Cylinder, 11kg","Each","1487.5","1437.5","1210.0","1375.0","1196.25","1250.0","1225.0","1215.0","1292.5","1210.0","1320.0","1375.0","1430.0","1347.5","1225.0","1350.00 1300.00","","1308.60 1381.18 1190.33","","","-5.25","9.94"
"52.0","Telephone Local Call","P/Call","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94","0.0","0.0"
"53.0","Soap, LifeBuoy","Each","38.0","38.0","42.0","42.0","38.0","42.0","42.0","38.0","38.0","38.0","37.0","38.0","40.0","39.0","40.0","42.0","42.0","39.65","41.16","38.24","-3.67","3.69"
