"","","","","","","","Average Monthly Prices of 53 Essential Items for the month of March 2019","","","","","","","","","","","","","","","","",""
"10.0","Curd (Dahi)","1 Kg","116.25","112.92","100.0","90.0","92.5","97.5","90.0","97.5","80.0","141.73","135.0","100.0","98.75","106.67","95.0","110.0","90.0","103.17","102.95","99.12","0.21","4.09"
"11.0","Powdered Milk, Nido, Polybag","400 gm","410.26","410.26","410.26","410.26","410.0","405.0","413.13","410.25","410.0","400.0","400.0","389.74","425.0","392.5","410.25","400.0","400.0","406.29","405.97","384.27","0.08","5.73"
"12.0","Eggs Hen, Farm","Dozen","98.75","91.79","93.13","98.13","91.75","95.63","91.25","91.46","88.5","101.36","98.13","103.75","104.38","104.58","113.75","131.25","121.25","101.11","111.67","94.72","-9.46","6.75"
"13.0","Mustard Oil, Average Quality","1 Kg","246.25","241.67","170.0","160.0","187.86","220.0","190.0","184.17","170.0","184.23","160.0","150.0","202.5","231.67","182.5","195.0","200.0","192.7","191.37","183.55","0.69","4.99"
"14.0","Cooking Oil, Tin, (SN)","2.5 Ltr","532.5","532.5","520.0","520.0","520.0","520.0","520.0","526.25","532.5","510.0","510.0","510.0","502.5","513.0","515.0","520.0","460.0","515.54","512.82","471.0","0.53","9.46"
"15.0","Vegetable Ghee, Tin, (SN)","2.5 Kg","505.0","505.0","495.0","495.0","495.0","495.0","495.0","500.0","505.0","490.0","490.0","490.0","492.5","495.0","490.0","492.5","455.0","493.24","490.88","464.35","0.48","6.22"
"16.0","Vegetable Ghee (Loose)","1 Kg","159.92","159.43","155.0","155.0","158.0","148.13","150.0","164.08","165.0","162.07","195.0","145.0","130.0","170.42","175.0","195.0","125.0","159.53","158.98","145.73","0.35","9.47"
"17.0","Bananas","Dozen","146.88","126.88","82.5","80.0","107.86","75.0","61.88","99.59","82.5","77.36","62.19","72.5","70.0","85.83","69.38","70.0","86.25","85.68","74.46","81.13","15.07","5.61"
"18.0","Pulse Masoor, Washed","1 Kg","133.75","119.38","150.0","150.0","133.93","134.38","136.25","109.17","110.0","105.43","104.85","110.0","101.25","93.75","117.5","132.5","128.75","121.82","121.7","115.41","0.1","5.55"
"19.0","Pulse Moong, Washed","1 Kg","151.88","145.52","135.0","132.5","126.79","136.25","140.0","144.17","133.75","145.94","139.38","150.0","140.0","122.29","133.75","147.5","127.5","138.37","125.25","116.21","10.48","19.07"
"20.0","Pulse Mash, Washed","1 Kg","167.5","157.5","155.0","160.0","157.14","158.75","180.0","145.83","140.0","146.11","126.25","140.0","140.0","135.17","137.5","185.0","153.75","152.09","152.99","151.17","-0.59","0.61"
"21.0","Pulse Gram, Washed","1 Kg","143.13","137.08","110.0","105.0","120.71","125.0","116.25","117.92","130.0","131.78","121.88","125.0","120.0","127.71","108.75","148.75","137.5","125.09","126.02","114.75","-0.74","9.01"
"22.0","Potatoes","1 Kg","34.69","27.82","18.13","20.0","19.11","18.44","12.0","16.67","20.0","23.27","19.07","19.38","18.75","26.46","18.44","25.0","22.19","21.14","21.51","23.98","-1.72","-11.84"
"23.0","Onions","1 Kg","53.75","44.58","38.75","42.5","36.25","41.56","33.13","32.5","34.38","31.97","27.03","30.0","33.13","44.69","37.5","32.5","32.5","36.87","28.6","33.11","28.92","11.36"
"24.0","Tomatoes","1 Kg","125.63","114.58","125.0","115.0","107.86","110.0","90.0","111.88","103.75","86.92","77.35","88.75","88.75","98.75","66.88","88.75","100.63","100.03","108.53","31.8","-7.83","214.56"
"25.0","Sugar, Refined","1 Kg","64.86","62.49","61.5","62.0","61.79","60.38","59.94","60.0","60.0","61.68","59.25","60.13","58.63","61.71","61.63","63.5","60.0","61.15","59.14","51.33","3.4","19.13"
"26.0","Gur, Average Quality","1 Kg","105.63","93.33","90.0","90.0","105.71","92.5","79.38","87.92","90.0","98.66","90.32","86.25","81.88","88.33","83.75","95.0","87.5","90.95","87.13","76.32","4.38","19.17"
"27.0","Salt Powder, Loose, Lahori","1 Kg","12.0","12.0","15.0","15.0","20.54","10.0","10.0","10.0","12.0","12.0","15.0","10.0","10.0","15.0","12.0","10.0","10.0","12.38","12.35","11.12","0.24","11.33"
"28.0","Red Chilly Powder, Loose","1 Kg","397.5","355.0","320.0","320.0","320.36","390.0","408.75","306.67","310.0","382.12","385.0","390.0","276.25","356.67","360.0","360.0","290.0","348.72","347.71","260.23","0.29","34.0"
"29.0","Garlic","1 Kg","218.75","203.33","173.75","180.0","171.25","153.13","161.25","162.92","160.0","207.6","168.75","185.0","153.75","202.5","185.63","177.5","200.0","180.3","165.78","174.45","8.76","3.35"
"30.0","Tea, Lipton Yellow Label, Packet","200 gm","221.05","221.05","221.05","221.05","221.05","221.05","221.05","221.05","221.0","221.05","221.05","221.05","221.05","221.05","221.05","221.05","194.8","219.5","219.5","193.34","0.0","13.53"
"31.0","Cooked Beef, Average Hotel","Plate","128.13","117.92","125.0","130.0","115.0","150.0","120.0","103.75","125.0","99.23","95.0","100.0","100.0","120.0","105.0","90.0","185.0","118.18","115.31","103.91","2.49","13.73"
"32.0","Cooked Daal, Average Hotel","Plate","85.0","75.83","53.75","60.0","67.32","55.0","50.0","42.5","60.0","64.04","60.0","70.0","65.0","60.0","50.0","75.0","87.5","63.58","62.92","58.29","1.05","9.08"
"33.0","Tea Prepared, Average Hotel","Cup","25.31","25.0","21.25","20.0","23.93","22.5","25.0","23.12","22.5","24.42","30.0","25.0","28.75","15.0","20.0","21.0","20.0","23.1","22.63","21.19","2.08","9.01"
"34.0","Cigarettes, K-2, 20's","Packet","60.0","60.0","60.0","60.0","60.0","70.0","60.0","50.0","60.0","60.0","60.0","60.0","50.0","65.0","70.0","50.0","60.0","59.71","59.71","50.76","0.0","17.63"
"35.0","Long Cloth","1 mtr","240.0","230.0","172.5","160.0","292.5","237.5","275.0","292.5","255.0","180.0","255.0","375.0","200.0","350.0","336.25","380.0","250.0","263.6","240.59","214.02","9.56","23.17"
"36.0","Shirting","1 mtr","225.63","220.0","185.0","180.0","165.0","125.0","170.0","240.0","125.0","166.15","140.0","175.0","157.5","321.0","163.75","160.0","170.0","181.71","180.75","171.06","0.53","6.23"
"37.0","Lawn","1 mtr","255.0","235.0","217.5","220.0","329.38","280.0","393.34","200.0","383.5","418.27","280.0","393.0","366.0","393.0","349.0","350.0","250.0","312.53","288.61","258.75","8.29","20.78"
"38.0","Georgette","1 mtr","172.5","171.04","160.0","140.0","145.0","160.0","150.0","105.0","110.0","121.93","120.0","150.0","130.0","123.33","100.0","105.0","150.0","136.11","133.25","128.32","2.15","6.07"
"39.0","Sandal Bata (Gents)","Pair","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","0.0","0.0"
"40.0","Chappal Spounge Bata (Gents)","Pair","199.0","199.0","199.0","199.0","199.0","199.0","199.0","199.0","199.0","199.0","199.0","199.0","199.0","199.0","199.0","199.0","199.0","199.0","199.0","179.09","0.0","11.12"
"41.0","Sandal Bata (Ladies)","Pair","599.0","599.0","599.0","599.0","599.0","599.0","599.0","599.0","599.0","599.0","599.0","599.0","599.0","599.0","599.0","599.0","599.0","599.0","599.0","502.39","0.0","19.23"
"42.0","Elec. Charges, Upto 50 Units","Unit","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","0.0","0.0"
"43.0","Gas Charges, Upto 3.3719 MMBTU","MMBTU","145.08","145.08","145.08","145.08","145.08","145.08","145.08","145.08","145.08","145.08","145.08","145.08","145.08","145.08","145.08","145.08","","145.08","145.08","128.7","0.0","12.73"
"44.0","Kerosene Oil","1 Ltr","137.5","135.0","126.0","131.0","130.0","128.0","120.0","117.92","127.5","137.12","120.0","117.5","142.5","122.0","110.0","98.0","90.0","122.94","120.77","115.11","1.8","6.8"
"45.0","Firewood Whole","40 Kg","787.5","741.67","775.0","750.0","810.71","600.0","550.0","710.42","650.0","666.83","600.0","400.0","450.0","729.17","500.0","650.0","625.0","646.84","647.24","633.0","-0.06","2.19"
"46.0","Energy Saver (14 watts)","Each","167.5","167.5","170.0","155.0","170.0","165.0","180.0","165.0","175.0","180.0","200.0","155.0","180.0","185.0","170.0","180.0","150.0","171.47","171.18","170.15","0.17","0.78"
"47.0","Washing Soap, (Nylon), (SN)","Cake","30.0","30.0","40.0","39.25","45.0","30.0","45.0","22.0","20.0","14.0","30.0","28.0","30.0","20.0","25.0","40.0","40.0","31.07","29.76","26.15","4.4","18.81"
"48.0","Match Box, Regular","Each","2.0","2.0","2.0","2.0","3.0","2.5","3.0","3.0","2.5","3.0","3.0","2.5","3.0","2.0","3.0","2.0","1.5","2.47","2.47","2.26","0.0","9.29"
"49.0","Petrol, Super","1 Ltr","93.35","93.35","93.4","94.9","94.24","93.3","93.5","93.95","94.39","93.34","94.08","93.35","93.6","93.35","95.7","93.19","96.22","93.95","91.35","88.99","2.85","5.57"
"50.0","Hi Speed Diesel (HSD)","1 Ltr","111.9","111.9","111.9","113.1","111.78","111.89","112.0","112.6","113.05","111.89","112.62","111.9","112.1","111.9","114.7","111.73","114.76","112.45","107.65","99.4","4.46","13.13"
"51.0","LPG Cylinder, 11kg","Each","1452.5","1455.0","1265.0","1430.0","1251.01","1250.0","1287.5","1318.33","1375.0","1329.91","1416.25","1512.5","1430.0","1375.0","1312.5","1425.0","1475.0","1374.15 1371.74 1190.00","","","0.18","15.47"
"52.0","Telephone Local Call","P/Call","4.65","4.65","4.65","4.65","4.65","4.65","4.65","4.65","4.65","4.65","4.65","4.65","4.65","4.65","4.65","4.65","4.65","4.65","4.65","3.94","0.0","18.02"
"53.0","Soap, LifeBuoy","Each","40.0","40.0","40.0","40.0","40.0","42.0","42.0","40.0","40.0","40.0","40.0","40.0","40.0","40.0","40.0","42.0","42.0","40.47","40.47","39.41","0.0","2.69"
