"","","","","MONTHLY AVERAGE PRICES OF ESSENTIAL ITEMS, MARCH 2012","","","","","","","","","","","","","","","",""
"SL
NO","DESCRIPTION","UNIT","ISLAM-
ABAD","RAWAL-GUJRAN-
PINDI WALA","","SIAL-
KOT","LAHORE","FAISAL-
ABAD","SAR-
GODHA","MUL-
TAN","BAHA-
WALPUR","KARA-
CHI","HYDER- SUKKUR
ABAD","","LAR-
KANA","PESHA-
WAR","BANNU QUETTA","","KHUZ-
DAR","AVERAGE"
"42.0","ELEC.CRHG. 1-50","UNIT","1.87","1.87","1.87","1.87","1.87","1.87","1.87","1.87","1.87","1.87","1.87","1.87","1.87","1.87","1.87","1.87","1.87","1.87"
"43.0","GAS CHARGES UP TO 3.3719 MMBTU","MMBTU","142.62","142.62","142.62","142.62","142.62","142.62","142.62","142.62","142.62","142.62","142.62","142.62","142.62","142.62","0.0","142.62","0.0","142.62"
"44.0","KEROSENE","LITR","115.0","115.0","113.5","108.0","108.25","112.5","105.0","109.0","112.0","114.0","112.75","111.0","120.0","111.9","112.0","105.0","105.0","111.17"
"45.0","FIRETOOD","40KG","505.0","462.5","600.0","560.0","585.71","510.0","366.0","475.0","500.0","436.15","320.0","328.0","400.0","601.67","320.0","525.0","475.0","468.83"
"46.0","ELEC.BULB 60TATS","EACH","160.5","160.5","140.0","140.0","145.0","134.0","125.0","150.0","150.0","145.0","141.0","145.0","132.5","160.0","145.0","138.0","138.0","144.09"
"47.0","TASHING SOAP NYLON","CAKE","19.0","19.0","15.0","17.0","35.0","20.0","24.0","22.0","15.0","12.0","20.4","18.0","15.5","16.87","15.5","18.0","25.0","19.25"
"48.0","MATCH BOX","EACH","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","2.0","1.0","1.0","1.0","1.0","1.06"
"49.0","PETROL","LITR","97.96","97.98","98.2","99.3","98.02","98.1","99.14","98.46","100.43","97.96","98.7","98.07","99.35","97.95","98.5","97.92","97.94","98.47"
"50.0","DIESEL","LITR","103.75","103.75","103.91","104.8","103.82","103.9","104.9","104.3","105.75","103.75","104.4","103.9","104.93","103.8","106.3","103.7","105.1","104.4"
"51.0","L.P.G.( 11 KG CYLENDER.)","EACH","1622.0","1610.0","1571.0","1573.0","1556.5","1690.0","1675.0","1570.0","1705.0","1518.0","1573.0","1601.0","1584.0","1650.0","1633.0","1567.5","1605.0","1606.12"
"52.0","TELE. LOCAL CALL","CALL","3.59","3.59","3.59","3.59","3.59","3.59","3.59","3.59","3.59","3.59","3.59","3.59","3.59","3.59","3.59","3.59","3.59","3.59"
"53.0","BAWH SOAP LIFEBOUY","CAKE","30.8","30.8","30.8","30.8","30.4","30.4","30.0","30.4","30.8","30.0","30.0","30.0","30.0","30.4","30.8","30.0","30.0","30.38"
