"","","","","","","","Average Monthly Prices of 53 Items for the month of March 2016","","","","","","","","","","","","","","","","",""
"S.
No.","Description","Unit","Islam-
abad","Rawal-
pindi","Gujran-
wala","Sialkot","Lahore","Faisal-
abad","Sar-
godha","Multan","Baha-
walpur","Karachi","Hyder-
abad","Sukkur","Larkana","Pesha-
war","Bannu","Quetta","Khuz-
dar","Average Prices
Feb 16 Jan 16 Feb 15","","","%change Feb 16
over",""
"41.0","Ladies Sandal, Bata","Pair","499.0","499.0","499.0","499.0","499.0","499.0","499.0","499.0","549.0","499.0","499.0","499.0","499.0","499.0","499.0","499.0","499.0","501.94","501.94","499.0","0.0","0.59"
"42.0","Elec. Charges, Upto 50 Units","Unit","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","0.0","0.0"
"43.0","Gas Charges, Upto 3.3719 MMBTU","MMBTU","128.7","128.7","128.7","128.7","128.7","128.7","128.7","128.7","128.7","128.7","128.7","128.7","128.7","128.7","124.18","128.7","","128.42","128.42","124.18","0.0","3.41"
"44.0","Kerosene Oil","1 Ltr","90.0","90.0","75.0","77.0","77.5","69.0","75.0","67.5","66.0","87.23","78.0","67.5","85.0","75.0","80.0","55.0","50.0","74.4","75.35","84.41","-1.26","-11.86"
"45.0","Firewood Whole","40 Kg","787.5","741.67","700.0","675.0","802.5","600.0","500.0","606.67","625.0","618.27","550.0","400.0","405.0","691.67","490.0","625.0","450.0","604.02","605.19","577.22","-0.19","4.64"
"46.0","Energy Saver","Each","167.5","167.5","155.0","155.0","170.0","162.5","175.0","165.0","175.0","170.0","180.0","155.0","175.0","180.0","160.0","180.0","150.0","167.21","167.21","165.74","0.0","0.89"
"47.0","Washing Soap, (Nylon), (SN)","Cake","25.0","25.0","16.0","20.0","40.0","25.0","40.0","22.0","20.0","14.0","25.0","26.0","21.0","20.0","22.5","30.0","30.0","24.79","24.74","24.35","0.2","1.81"
"48.0","Match Box, Regular","Each","2.0","2.0","2.0","2.0","1.0","2.5","2.5","2.0","2.5","2.0","2.0","2.25","2.5","2.0","2.0","1.0","1.5","1.99","1.99","1.74","0.0","14.37"
"49.0","Petrol, Super","1 Ltr","62.99","62.99","63.12","64.75","63.13","62.99","63.2","63.0","63.35","62.99","63.3","63.0","64.4","62.99","65.1","63.0","65.28","63.5","72.07","71.21","-11.89","-10.83"
"50.0","Hi Speed Diesel (HSD)","1 Ltr","71.34","71.34","71.53","73.2","71.48","71.34","71.55","71.4","72.0","71.34","71.7","71.3","72.8","71.34","74.83","71.4","74.22","72.01","76.67","81.53","-6.08","-11.68"
"51.0","LPG Cylinder, 11kg","Each","1052.0","1032.0","715.0","737.0","726.0","800.0","800.0","770.0","770.0","704.0","792.0","1056.0","880.0","990.0","782.0","1205.00 1010.00","","871.82 1065.13 1162.90","","","-18.15","-25.03"
"52.0","Telephone Local Call","P/Call","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94","0.0","0.0"
"53.0","Soap, LifeBuoy","Each","37.0","37.0","35.0","37.0","35.0","35.0","35.0","35.0","35.0","35.0","35.0","35.0","37.0","35.0","36.0","36.0","36.0","35.65","35.74","36.0","-0.25","-0.97"
