"S.
No.","Description","Unit","Islam-
abad","Rawal-
pindi","Gujran-
wala","Sialkot","Lahore","Faisal-
abad","Sar-
godha","Multan","Baha-
walpur","Karachi","Hyder-
abad","Sukkur","Larkana","Pesha-
war","Bannu","Quetta","Khuz-
dar","Average Prices
Dec 17 Nov 17 Dec 16","","","%change Dec 17 over
Nov 17 Dec 16",""
"40.0","Gents Chappal Spng, Bata","Pair","179.0","179.0","179.0","179.0","179.0","179.0","179.0","179.0","179.0","180.54","179.0","179.0","179.0","179.0","179.0","179.0","179.0","179.09","179.09","179.09","0.0","0.0"
"41.0","Ladies Sandal, Bata","Pair","499.0","499.0","499.0","499.0","499.0","499.0","499.0","499.0","549.0","506.69","499.0","499.0","499.0","499.0","499.0","499.0","499.0","502.39","502.39","502.39","0.0","0.0"
"42.0","Elec. Charges, Upto 50 Units","Unit","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","0.0","0.0"
"43.0","Gas Charges, Upto 3.3719 MMBTU","MMBTU","128.7","128.7","128.7","128.7","128.7","128.7","128.7","128.7","128.7","128.7","128.7","128.7","128.7","128.7","128.7","128.7","","128.7","128.7","128.7","0.0","0.0"
"44.0","Kerosene Oil","1 Ltr","115.0","107.5","100.0","100.0","100.0","82.0","90.0","85.0","100.0","117.98","90.0","90.0","115.0","101.33","95.0","70.0","70.0","95.81","90.36","77.6","6.03","23.47"
"45.0","Firewood Whole","40 Kg","787.5","741.67","700.0","700.0","786.79","600.0","550.0","690.0","625.0","651.92","550.0","400.0","450.0","720.83","500.0","650.0","500.0","623.75","618.81","607.39","0.8","2.69"
"46.0","Energy Saver","Each","167.5","167.5","155.0","155.0","170.0","162.5","180.0","165.0","175.0","180.0","200.0","155.0","180.0","180.0","160.0","180.0","150.0","169.56","169.32","167.79","0.14","1.05"
"47.0","Washing Soap, (Nylon), (SN)","Cake","25.0","25.0","16.0","20.0","40.0","25.0","40.0","22.0","20.0","14.0","25.0","26.0","30.0","20.0","22.5","30.0","40.0","25.91","25.91","25.91","0.0","0.0"
"48.0","Match Box, Regular","Each","2.0","2.0","2.0","2.0","2.38","2.5","3.0","2.0","2.5","2.0","2.0","2.5","2.5","2.0","3.0","2.0","1.5","2.23","2.21","2.13","0.9","4.69"
"49.0","Petrol, Super","1 Ltr","77.89","77.89","77.91","79.1","77.83","77.89","78.03","78.35","78.9","77.89","78.25","77.89","78.1","77.89","79.9","77.78","79.9","78.32","76.77","67.04","2.02","16.83"
"50.0","Hi Speed Diesel (HSD)","1 Ltr","86.43","86.43","86.44","87.7","86.3","86.43","86.5","86.85","87.7","86.42","86.83","86.43","86.7","86.43","88.7","86.26","89.2","86.93","85.48","76.1","1.7","14.23"
"51.0","LPG Cylinder, 11kg","Each","1505.0","1475.0","1333.75","1430.0","1375.0","1375.0","1362.5","1397.5","1430.0","1320.0","1402.5","1388.75","1430.0","1512.5","1337.5","1350.0","1193.75","1389.34","1242.0","1150.12","11.86","20.8"
"52.0","Telephone Local Call","P/Call","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94","0.0","0.0"
"53.0","Soap, LifeBuoy","Each","42.0","42.0","42.0","42.0","42.0","42.0","42.0","42.0","42.0","42.0","42.0","42.0","40.0","42.0","40.0","42.0","42.0","41.76","41.76","37.0","0.0","12.86"
