"12/2/2013 4:27 PM","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","Average Monthly Prices of 53 Essential Items for the month of November 2013","","","","","","","","","","","","","","","","","",""
"S.
No.","Description","Unit","Islam-
abad","Rawal-
pindi","Gujran-
wala","Sialkot","Lahore","Faisal-
abad","Sar-
godha","Multan","Baha-
walpur","Karachi","Hyder-
abad","Sukkur","Larkana","Pesha-
war","Bannu","Quetta","Khuz-
dar","Average Prices
Nov 13 Oct 13 Nov 12","","","%change Nov 13 over
Oct 13 Nov 12",""
"37.0","Lawn","1 mtr","167.5","152.5","177.5","177.5","229.64","150.0","275.0","130.0","139.5","170.0","210.0","255.0","250.0","250.0","167.5","160.0","165.0","189.8","189.8","160.68","0.0","18.12"
"38.0","Georgette","1 mtr","135.0","132.5","125.0","120.0","95.0","95.0","140.0","90.0","110.0","95.29","100.0","125.0","130.0","110.0","92.5","90.0","95.0","110.61","110.36","99.5","0.23","11.17"
"39.0","Sandal Bata (Gents)","Pair","649.0","649.0","649.0","649.0","649.0","649.0","649.0","649.0","649.0","649.0","649.0","649.0","649.0","649.0","649.0","649.0","649.0","649.0","649.0","499.0","0.0","30.06"
"40.0","Chappal Spounge Bata (Gents)","Pair","179.0","179.0","179.0","179.0","179.0","179.0","179.0","179.0","179.0","179.0","179.0","179.0","179.0","179.0","179.0","179.0","179.0","179.0","179.0","179.0","0.0","0.0"
"41.0","Sandal Bata (Ladies)","Pair","499.0","499.0","499.0","499.0","499.0","499.0","499.0","499.0","499.0","499.0","499.0","499.0","499.0","499.0","499.0","499.0","499.0","499.0","499.0","399.0","0.0","25.06"
"42.0","Electricity Charges, Upto 50 Units","Unit","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","0.0","0.0"
"43.0","Gas Charges, Upto 3.3719 MMBTU","MMBTU","124.18","124.18","124.18","124.18","124.18","124.18","124.18","124.18","124.18","124.18","124.18","124.18","124.18","124.18","","124.18","","124.18","124.18","116.0","0.0","7.05"
"44.0","Kerosene Oil","1 Ltr","131.0","131.0","130.0","131.0","118.5","125.5","118.0","125.0","128.0","132.0","130.0","122.5","140.0","124.67","125.5","117.0","125.0","126.75","126.72","117.44","0.02","7.93"
"45.0","Firewood Whole","40 kg","650.0","608.33","662.5","643.75","652.86","575.0","465.63","510.0","543.13","496.15","400.0","350.0","450.0","650.0","437.5","525.0","400.0","530.58","520.44","488.1","1.95","8.7"
"46.0","Energy Saver (14 watts)","Each","165.0","165.0","155.0","155.0","165.0","162.5","155.0","160.0","165.0","155.0","155.0","150.0","163.75","190.0","150.63","180.0","158.13","161.77","161.47","149.12","0.19","8.48"
"47.0","Washing Soap, 200-250 g, Specify Name","Cake","20.75","20.75","16.0","20.0","40.0","25.0","38.0","22.0","18.0","14.0","25.0","19.5","20.0","17.21","20.0","30.0","30.0","23.31","23.09","21.03","0.95","10.84"
"48.0","Match Box, Regular","Each","1.0","1.0","1.0","1.0","1.0","1.5","1.5","1.5","1.13","2.0","2.0","2.0","2.0","1.5","1.69","1.0","1.13","1.41","1.38","1.09","2.17","29.36"
"49.0","Petrol, Super","1 Ltr","113.05","113.1","113.2","114.0","113.13","113.45","113.3","114.9","113.6","113.1","113.9","113.2","115.4","113.1","117.6","113.2","118.3","114.09","115.02","103.78","-0.81","9.93"
"50.0","Hi Speed Diesel (HSP)","1 Ltr","117.1","117.1","117.2","118.0","117.11","117.05","117.4","119.2","117.5","117.1","117.8","117.2","119.7","117.1","120.8","117.1","122.2","118.04","118.61","110.86","-0.48","6.48"
"51.0","LPG Cylinder, 11kg","Each","1580.0","1570.0","1526.25","1540.0","1540.0","1625.0","1600.0","1650.0","1760.0","1442.68","1540.0","1588.13","1540.0","1760.0","1596.25","1565.0","1512.5","1584.46","1534.72","1576.02","3.24","0.54"
"52.0","Telephone Local Call Charges, 3 Minutes","P/Call","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.59","0.0","9.75"
"53.0","Soap, LifeBuoy","Each","36.0","36.0","36.0","36.0","36.0","36.0","36.0","36.0","36.0","36.0","36.0","36.0","36.0","36.0","36.0","36.0","36.0","36.0","36.0","32.0","0.0","12.5"
