"6/2/2014 1:50 PM","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","Average Monthly Prices of 53 Essential Items for the month of May 2014","","","","","","","","","","","","","","","",""
"S.
No.","Description","Unit","Islam-
abad","Rawal-
pindi","Gujran-
wala","Sialkot","Lahore","Faisal-
abad","Sar-
godha","Multan","Baha-
walpur","Karachi","Hyder-
abad","Sukkur","Larkana","Pesha-war","Bannu","Quetta","Khuz-dar","Average Prices
May 14 Apr 14 May 13","","","%change May 14 over
Apr 14 May 13",""
"44.0","Kerosene Oil","1 Ltr","126.29","126.28","120.5","121.0","109.5","103.0","110.0","115.5","119.0","123.54","125.0","114.0","130.0","116.17","125.0","108.0","125.0","118.69","121.12","114.87","-2.01","3.33"
"45.0","Firewood Whole","40 kg","762.5","683.33","700.0","625.0","703.21","600.0","475.0","545.0","565.0","513.08","400.0","400.0","400.0","670.83","480.0","525.0","400.0","555.76","555.41","504.07","0.06","10.25"
"46.0","Energy Saver (14 watts)","Each","167.5","167.5","155.0","155.0","165.0","162.5","162.5","165.0","175.0","166.25","160.0","155.0","175.0","181.25","160.0","180.0","150.0","164.85","163.97","158.47","0.54","4.03"
"47.0","Washing Soap, 200-250 g, Specify Name","Cake","22.5","22.5","16.0","20.0","40.0","25.0","38.0","22.0","19.0","14.0","25.0","19.5","20.0","20.0","20.0","30.0","30.0","23.74","23.74","21.4","0.0","10.93"
"48.0","Match Box, Regular","Each","1.0","1.0","1.0","1.0","1.0","1.5","2.0","2.0","2.0","2.0","2.0","2.0","2.0","1.5","1.5","1.0","1.5","1.53","1.5","1.15","2.0","33.04"
"49.0","Petrol, Super","1 Ltr","108.35","108.35","108.4","108.4","108.36","108.4","110.2","109.6","110.9","108.3","108.9","108.5","110.9","108.4","112.0","109.3","113.6","109.46","109.86","98.76","-0.36","10.83"
"50.0","Hi Speed Diesel (HSP)","1 Ltr","109.7","109.7","109.8","109.8","109.7","109.7","111.5","110.9","112.15","109.67","110.4","109.8","112.6","109.7","113.5","110.6","114.8","110.82","115.39","107.13","-3.96","3.44"
"51.0","LPG Cylinder, 11kg","Each","1332.5","1320.0","1127.5","1347.5","1127.5","1200.0","1231.25","1187.5","1265.0","1017.5","1100.0","1375.0","1270.5","1443.75","1132.5","1500.0","1350.0","1254.59","1428.11","1276.66","-12.15","-1.73"
"52.0","Telephone Local Call Charges, 3 Minutes","P/Call","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94","0.0","0.0"
"53.0","Soap, LifeBuoy","Each","36.0","36.0","36.0","36.0","36.0","36.0","36.0","36.0","36.0","36.0","36.0","36.0","36.0","36.0","36.0","36.0","36.0","36.0","36.0","33.24","0.0","8.3"
