"","","","","","","","Average Prices of 53 Essential items for the month of February, 2017","","","","","","","","","","","","","","","","",""
"S.
No.","Description","Unit","Islam-
abad","Rawal-
pindi","Gujran-
wala","Sialkot","Lahore","Faisal-
abad","Sar-
godha","Multan","Baha-
walpur","Karachi","Hyder-
abad","Sukkur","Larkana","Pesha-
war","Bannu","Quetta","Khuz-
dar","Average Prices
Feb 17 Jan 17 Feb 16","","","%change Feb 17 over
Jan 17 Feb 16",""
"43.0","Gas Charges, Upto 3.3719 MMBTU","MMBTU","128.7","128.7","128.7","128.7","128.7","128.7","128.7","128.7","128.7","128.7","128.7","128.7","128.7","128.7","128.7","128.7","","128.7","128.7","128.42","0.0","0.22"
"44.0","Kerosene Oil","1 Ltr","98.75","95.0","75.0","77.0","90.0","69.0","75.0","67.5","70.0","97.12","80.0","69.5","85.0","86.67","85.0","55.0","50.0","77.97","77.86","75.35","0.14","3.48"
"45.0","Firewood Whole","40 Kg","787.5","741.67","700.0","700.0","720.0","600.0","500.0","606.67","625.0","644.23","550.0","400.0","450.0","725.0","495.0","650.0","512.5","612.21","608.9","605.19","0.54","1.16"
"46.0","Energy Saver","Each","167.5","167.5","155.0","155.0","170.0","162.5","175.0","165.0","175.0","170.0","190.0","155.0","175.0","180.0","160.0","180.0","150.0","167.79","167.79","167.21","0.0","0.35"
"47.0","Washing Soap, (Nylon), (SN)","Cake","25.0","25.0","16.0","20.0","40.0","25.0","40.0","22.0","20.0","14.0","25.0","26.0","30.0","20.0","22.5","30.0","40.0","25.91","25.91","24.74","0.0","4.73"
"48.0","Match Box, Regular","Each","2.0","2.0","2.0","2.0","2.0","2.5","3.0","2.0","2.5","2.0","2.0","2.5","2.5","2.0","2.5","2.0","1.5","2.18","2.18","1.99","0.0","9.55"
"49.0","Petrol, Super","1 Ltr","71.04","71.04","71.15","72.1","71.15","71.15","71.46","71.04","72.3","71.03","71.5","71.05","72.7","71.04","73.4","71.02","73.3","71.62","67.92","72.07","5.45","-0.62"
"50.0","Hi Speed Diesel (HSD)","1 Ltr","80.26","80.26","80.11","81.4","80.34","80.33","80.72","80.24","81.55","80.25","80.82","80.28","81.8","80.26","82.9","80.26","83.08","80.87","77.13","76.67","4.85","5.48"
"51.0","LPG Cylinder, 11kg","Each","1340.0","1317.5","1088.13","1210.0","1113.75","1150.0","1093.75","1122.5","1265.0","1100.0","1210.0","1210.0","1210.0","1292.5","1125.0","1287.5","1100.0","1190.33","1162.46","1065.13","2.4","11.75"
"52.0","Telephone Local Call","P/Call","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94","0.0","0.0"
"53.0","Soap, LifeBuoy","Each","40.0","40.0","38.5","38.5","37.0","37.0","37.0","40.0","40.0","40.0","40.0","37.0","37.0","40.0","36.0","36.0","36.0","38.24","37.62","35.74","1.65","6.99"
