"","","","","","","","Average Monthly Prices of 53 Essential Items for the month of September 2014","","","","","","","","","","","","","","","","",""
"15.0","Vegetable Ghee, Tin, (SN)","2.5 Kg","507.5","507.5","505.0","505.0","505.0","510.0","502.5","510.0","508.75","505.0","505.0","525.0","520.0","508.75","510.0","510.0","550.0","511.47","511.76","510.29","-0.06","0.23"
"16.0","Vegetable Ghee (Loose)","1 Kg","165.0","160.25","145.0","150.0","158.21","145.5","146.0","155.75","160.0","161.54","160.0","157.5","145.0","160.94","151.88","190.0","170.0","157.8","158.84","157.68","-0.65","0.08"
"17.0","Bananas","Dozen","172.51","132.81","76.25","72.5","81.21","55.0","52.5","79.17","70.0","55.58","55.47","58.75","64.38","62.92","79.38","78.75","85.0","78.36","89.15","61.31","-12.1","27.81"
"18.0","Pulse Masoor, Washed","1 Kg","141.25","128.54","143.75","120.0","152.32","135.0","138.75","125.0","120.0","126.54","118.44","130.0","113.38","125.42","122.5","133.75","115.0","128.8","128.66","112.36","0.11","14.63"
"19.0","Pulse Moong, Washed","1 Kg","168.13","161.72","153.75","155.0","155.71","145.0","140.0","132.5","145.0","169.33","157.5","155.0","140.0","144.17","142.5","147.5","140.0","150.17","152.02","122.89","-1.22","22.2"
"20.0","Pulse Mash, Washed","1 Kg","169.38","160.73","166.25","168.75","176.02","160.0","157.5","152.5","160.0","143.08","143.13","150.0","146.25","152.5","152.5","173.75","140.0","157.2","155.03","128.61","1.4","22.23"
"21.0","Pulse Gram, Washed","1 Kg","85.16","75.17","66.25","65.63","66.07","68.94","63.75","67.5","70.0","78.08","72.5","75.0","66.88","76.67","70.0","100.0","85.0","73.68","74.01","73.44","-0.45","0.33"
"22.0","Potatoes","1 Kg","80.32","76.25","78.75","65.0","76.43","77.5","70.0","75.0","60.31","51.54","57.97","52.5","58.75","71.67","62.5","50.0","57.5","66.0","68.6","34.71","-3.79","90.15"
"23.0","Onions","1 Kg","57.19","52.08","45.63","47.5","50.36","44.69","38.75","38.88","40.0","39.81","37.35","36.88","38.13","43.12","38.13","30.0","27.5","41.53","41.24","47.17","0.7","-11.96"
"24.0","Tomatoes","1 Kg","81.88","73.86","75.0","76.25","81.07","75.63","63.75","71.46","70.63","70.58","71.25","56.25","76.25","51.67","53.44","41.25","32.5","66.04","47.78","64.48","38.22","2.42"
"25.0","Sugar, Refined","1 Kg","64.44","62.61","60.0","60.0","61.42","60.0","59.5","59.25","60.0","61.62","59.25","58.5","59.75","61.83","60.13","61.0","59.0","60.49","57.83","53.84","4.6","12.35"
"26.0","Gur, Average Quality","1 Kg","105.0","90.83","87.5","83.13","88.93","83.13","75.0","77.5","70.0","96.54","78.91","75.0","73.75","94.79","88.13","85.0","80.0","84.3","82.17","89.88","2.59","-6.21"
"27.0","Salt Powder, Loose, Lahori","1 Kg","11.0","10.83","10.0","9.5","10.0","9.25","10.0","9.0","10.0","12.0","10.0","9.0","10.0","10.0","8.0","10.0","10.0","9.92","9.87","9.15","0.51","8.42"
"28.0","Red Chilly Powder, Loose","1 Kg","296.25","279.17","280.0","250.0","260.71","211.88","250.0","243.34","210.0","307.69","280.0","250.0","225.0","208.75","273.75","290.0","200.0","253.91","251.42","216.85","0.99","17.09"
"29.0","Garlic","1 Kg","173.75","152.5","130.0","120.0","155.0","107.5","120.0","117.08","116.25","138.08","125.0","115.0","102.5","149.38","148.75","140.0","165.0","133.87","135.91","124.85","-1.5","7.22"
"30.0","Tea, Lipton Yellow Label, Packet","200 gm","127.37","127.37","124.21","124.21","126.32","126.32","127.41","127.37","126.32","124.21","127.37","124.21","124.21","127.37","125.82","124.21","124.21","125.79","124.21","172.13","1.27","-26.92"
"31.0","Cooked Beef, Average Hotel","Plate","83.75","81.25","60.0","62.5","78.04","75.0","95.0","70.0","65.0","71.54","61.88","100.0","70.0","112.5","90.0","80.0","140.0","82.14","82.0","75.49","0.17","8.81"
"32.0","Cooked Daal, Average Hotel","Plate","56.25","50.83","35.0","32.5","51.07","42.5","40.0","32.5","37.5","53.08","40.0","50.0","60.0","60.0","47.5","60.0","60.0","47.57","47.48","44.99","0.19","5.73"
"33.0","Tea Prepared, Average Hotel","Cup","20.0","20.0","17.5","15.0","19.93","20.0","18.5","20.0","15.0","16.54","20.0","20.0","22.5","15.0","15.0","21.0","20.0","18.59","18.48","16.34","0.6","13.77"
"34.0","Cigarettes, K-2, 20's","Packet","45.0","45.0","45.0","50.0","45.0","41.25","48.0","43.0","45.0","45.0","46.0","45.0","45.0","45.0","45.0","50.0","40.0","45.19","45.12","37.59","0.16","20.22"
"35.0","Long Cloth","1 mtr","185.0","175.0","137.5","135.0","247.14","237.5","225.0","250.0","180.0","170.0","210.0","230.0","200.0","300.0","147.5","170.0","190.0","199.39","199.39","171.14","0.0","16.51"
"36.0","Shirting","1 mtr","172.5","165.0","175.0","175.0","118.57","125.0","140.0","210.0","115.0","138.08","130.0","120.0","130.0","270.83","130.0","160.0","190.0","156.76","156.18","141.01","0.37","11.17"
"37.0","Lawn","1 mtr","227.5","210.0","205.0","205.0","261.07","240.0","360.0","150.0","146.5","360.0","215.0","280.0","333.0","360.0","167.5","180.0","165.0","239.15","239.15","189.8","0.0","26.0"
"38.0","Georgette","1 mtr","155.0","152.5","132.5","130.0","110.54","160.0","150.0","105.0","110.0","114.62","110.0","125.0","130.0","110.0","97.5","105.0","95.0","123.1","121.63","110.29","1.21","11.61"
"39.0","Sandal Bata (Gents)","Pair","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","649.0","0.0","7.7"
"40.0","Chappal Spounge Bata (Gents)","Pair","179.0","179.0","179.0","179.0","179.0","179.0","179.0","179.0","179.0","179.0","179.0","179.0","179.0","179.0","179.0","179.0","179.0","179.0","179.0","179.0","0.0","0.0"
"41.0","Sandal Bata (Ladies)","Pair","499.0","499.0","499.0","499.0","499.0","499.0","499.0","499.0","499.0","499.0","499.0","499.0","499.0","499.0","499.0","499.0","499.0","499.0","499.0","499.0","0.0","0.0"
"42.0","Elec. Charges, Upto 50 Units","Unit","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","0.0","0.0"
"43.0","Gas Charges, Upto 3.3719 MMBTU","MMBTU","124.18","124.18","124.18","124.18","124.18","124.18","124.18","124.18","124.18","124.18","124.18","124.18","124.18","124.18","0.0","124.18","0.0","124.18","124.18","124.18","0.0","0.0"
"44.0","Kerosene Oil","1 Ltr","126.25","126.25","114.5","119.5","109.5","103.0","109.5","115.5","119.0","123.54","125.0","110.25","130.0","116.33","122.0","108.0","120.0","117.54","118.58","124.84","-0.88","-5.85"
"45.0","Firewood Whole","40 Kg","762.5","683.33","700.0","600.0","703.21","600.0","475.0","545.0","565.0","513.08","400.0","400.0","400.0","656.25","490.0","525.0","400.0","554.02","554.39","517.38","-0.07","7.08"
"46.0","Energy Saver (14 watts)","Each","167.5","167.5","155.0","155.0","165.0","162.5","167.5","165.0","175.0","170.0","160.0","155.0","175.0","180.0","160.0","180.0","150.0","165.29","165.15","161.47","0.08","2.37"
"47.0","Washing Soap, (Nylon), (SN)","Cake","25.0","25.0","16.0","20.0","40.0","25.0","40.0","22.0","20.0","14.0","25.0","19.5","20.0","20.0","22.5","30.0","30.0","24.35","24.24","23.03","0.45","5.73"
"48.0","Match Box, Regular","Each","1.0","1.0","2.0","2.0","1.0","1.5","2.0","2.0","2.0","2.0","2.0","2.0","2.0","1.5","1.5","1.0","1.5","1.65","1.65","1.29","0.0","27.91"
"49.0","Petrol, Super","1 Ltr","106.95","106.95","106.56","106.56","106.95","106.9","108.8","108.2","109.5","106.9","107.6","107.3","109.6","106.9","110.6","107.9","113.6","108.1","109.46","110.88","-1.24","-2.51"
"50.0","Hi Speed Diesel (HSD)","1 Ltr","108.7","108.7","108.8","108.8","108.7","108.7","110.5","109.9","111.2","108.7","109.4","108.9","111.6","108.7","112.5","109.6","114.8","109.89","110.82","113.91","-0.84","-3.53"
"51.0","LPG Cylinder, 11kg","Each","1390.00 1380.00 1485.00 1526.25 1526.25 1472.50 1506.25 1577.50 1622.50 1223.75 1333.75 1485.00 1377.75 1468.96 1365.00 1493.75 1350.00 1446.13 1341.28 1529.65","","","","","","","","","","","","","","","","","","","","7.82","-5.46"
"52.0","Telephone Local Call","P/Call","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94","0.0","0.0"
"53.0","Soap, LifeBuoy","Each","36.0","36.0","36.0","36.0","36.0","36.0","36.0","36.0","36.0","36.0","36.0","36.0","36.0","36.0","36.0","36.0","36.0","36.0","35.99","35.94","0.03","0.17"
