"","","","","","","","Average Monthly Prices of 53 Essential Items for the month of July 2014","","","","","","","","","","","","","","","","",""
"10.0","Curd (Dahi)","1 Kg","102.5","93.75","88.5","80.0","79.29","79.0","74.0","80.0","70.0","120.0","106.0","85.0","95.0","79.58","82.5","100.0","80.0","87.95","87.21","79.22","0.85","11.02"
"11.0","Powdered Milk, Nido, Polybag","400 gm","350.0","350.0","350.0","350.0","350.0","350.0","350.0","350.0","350.0","350.0","350.0","350.0","350.0","350.0","332.0","325.0","350.0","347.47","344.12","290.0","0.97","19.82"
"12.0","Eggs Hen, Farm","Dozen","89.54","85.5","90.5","91.5","85.29","88.4","84.6","88.73","85.2","93.28","91.6","94.0","88.0","84.33","84.5","96.0","89.0","88.82","82.53","80.25","7.62","10.68"
"13.0","Mustard Oil, Average Quality","1 Kg","240.0","232.5","156.5","160.0","188.93","192.5","190.0","172.5","160.0","174.46","160.0","143.0","200.0","221.67","180.0","190.0","190.0","185.42","184.94","182.24","0.26","1.74"
"14.0","Cooking Oil, Tin, (SN)","2.5 Ltr","540.0","540.0","545.0","545.0","535.0","545.0","520.0","540.0","540.0","545.0","545.0","545.0","530.0","540.0","540.0","540.0","550.0","540.29","541.4","537.35","-0.21","0.55"
"15.0","Vegetable Ghee, Tin, (SN)","2.5 Kg","510.0","510.0","505.0","505.0","505.0","510.0","500.0","510.0","510.0","505.0","505.0","525.0","520.0","510.0","510.0","510.0","550.0","511.76","512.21","508.82","-0.09","0.58"
"16.0","Vegetable Ghee (Loose)","1 Kg","168.75","163.08","150.0","150.0","155.71","148.2","150.0","160.0","160.0","161.54","160.0","158.5","145.0","168.13","152.5","190.0","170.0","159.49","159.8","158.2","-0.19","0.82"
"17.0","Bananas","Dozen","195.5","179.17","107.5","113.0","122.93","86.0","85.0","103.17","92.0","80.15","80.0","90.0","80.0","115.0","179.0","120.0","94.0","113.08","106.32","84.81","6.36","33.33"
"18.0","Pulse Masoor, Washed","1 Kg","141.25","128.54","150.0","120.0","152.32","147.5","135.0","122.5","120.0","123.54","117.5","130.0","114.0","120.0","121.0","138.4","115.0","129.21","128.98","110.35","0.18","17.09"
"19.0","Pulse Moong, Washed","1 Kg","180.31","170.42","161.5","150.0","166.43","175.0","155.0","161.5","160.0","173.08","171.25","155.0","158.0","152.5","150.0","140.0","140.0","160.0","160.82","123.86","-0.51","29.18"
"20.0","Pulse Mash, Washed","1 Kg","158.75","152.17","155.0","150.0","158.93","160.0","150.0","147.5","160.0","143.08","142.5","135.0","140.0","144.17","140.0","174.0","140.0","150.06","149.22","130.19","0.56","15.26"
"21.0","Pulse Gram, Washed","1 Kg","84.38","72.5","62.5","60.4","66.07","68.25","62.5","69.17","70.0","78.08","72.5","75.0","69.0","76.67","70.0","110.0","100.0","74.53","75.36","78.67","-1.1","-5.26"
"22.0","Potatoes","1 Kg","83.0","78.33","68.5","71.5","70.43","73.5","74.5","77.5","59.5","64.08","63.75","63.0","63.0","65.5","63.5","59.0","70.0","68.74","60.61","28.93","13.41","137.61"
"23.0","Onions","1 Kg","54.38","48.29","40.5","46.5","46.03","40.0","37.0","38.13","33.5","43.08","35.25","33.0","40.5","37.16","39.5","38.0","24.8","39.74","32.36","40.58","22.81","-2.07"
"24.0","Tomatoes","1 Kg","58.13","54.08","59.0","58.5","64.54","63.5","45.0","65.33","55.0","49.08","51.5","45.0","54.0","33.25","32.75","34.0","28.0","50.04","32.2","87.78","55.4","-42.99"
"25.0","Sugar, Refined","1 Kg","59.95","57.82","56.0","55.8","57.81","56.4","55.5","55.6","55.0","56.22","53.4","54.5","53.2","57.52","56.4","57.6","52.0","55.92","53.84","54.35","3.86","2.89"
"26.0","Gur, Average Quality","1 Kg","105.0","90.83","82.5","80.0","81.29","77.5","75.0","74.5","67.5","95.54","75.63","75.0","69.5","87.67","82.5","85.0","80.0","81.47","80.77","84.87","0.87","-4.01"
"27.0","Salt Powder, Loose, Lahori","1 Kg","11.0","10.83","10.0","9.0","10.0","9.0","10.0","9.0","10.0","12.0","10.0","8.9","10.0","10.0","8.0","10.0","10.0","9.87","9.83","9.07","0.41","8.82"
"28.0","Red Chilly Powder, Loose","1 Kg","283.5","268.67","280.0","240.0","266.43","210.0","250.0","235.0","210.0","303.07","260.0","250.0","216.0","200.0","280.0","290.0","200.0","249.57","244.94","215.08","1.89","16.04"
"29.0","Garlic","1 Kg","157.5","131.0","123.0","120.0","130.15","104.5","95.0","108.67","104.0","132.15","111.25","114.0","87.0","99.33","128.5","152.0","160.0","121.06","117.35","120.5","3.16","0.46"
"30.0","Tea, Lipton Yellow Label, Packet","200 gm","124.21","124.21","124.21","124.21","124.21","124.21","124.21","124.21","124.21","124.21","124.21","124.21","124.21","124.21","124.21","124.21","124.21","124.21","124.21","171.67","0.0","-27.65"
"31.0","Cooked Beef, Average Hotel","Plate","83.75","81.25","60.0","62.5","78.04","75.0","95.0","70.0","65.0","71.54","61.88","100.0","70.0","110.0","90.0","80.0","140.0","82.0","81.56","72.22","0.54","13.54"
"32.0","Cooked Daal, Average Hotel","Plate","56.25","50.83","35.0","32.5","51.07","42.5","40.0","32.5","37.5","50.0","40.0","50.0","60.0","60.0","47.5","60.0","60.0","47.39","47.1","42.61","0.62","11.22"
"33.0","Tea Prepared, Average Hotel","Cup","20.0","20.0","17.5","15.0","19.35","20.0","18.5","20.0","15.0","16.54","20.0","20.0","22.5","15.0","15.0","21.0","17.5","18.41","18.14","15.91","1.49","15.71"
"34.0","Cigarettes, K-2, 20's","Packet","45.0","45.0","45.0","50.0","45.0","40.0","45.0","43.0","45.0","45.0","46.0","45.0","45.0","45.0","45.0","47.0","40.0","44.76","42.46","37.4","5.42","19.68"
"35.0","Long Cloth","1 mtr","185.0","175.0","137.5","135.0","247.14","237.5","215.0","250.0","180.0","170.0","210.0","230.0","200.0","300.0","147.5","170.0","190.0","198.8","196.45","170.26","1.2","16.76"
"36.0","Shirting","1 mtr","172.5","165.0","175.0","175.0","118.57","125.0","140.0","210.0","115.0","135.08","120.0","120.0","130.0","270.83","130.0","160.0","190.0","156.0","154.35","139.09","1.07","12.16"
"37.0","Lawn","1 mtr","227.5","210.0","200.0","200.0","261.07","240.0","360.0","150.0","146.5","344.0","215.0","280.0","333.0","360.0","167.5","180.0","165.0","237.62","229.31","189.66","3.62","25.29"
"38.0","Georgette","1 mtr","155.0","152.5","132.5","130.0","110.54","160.0","137.0","105.0","110.0","111.62","110.0","125.0","130.0","110.0","97.5","105.0","95.0","122.16","120.3","109.58","1.55","11.48"
"39.0","Sandal Bata (Gents)","Pair","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","599.0","0.0","16.69"
"40.0","Chappal Spounge Bata (Gents)","Pair","179.0","179.0","179.0","179.0","179.0","179.0","179.0","179.0","179.0","179.0","179.0","179.0","179.0","179.0","179.0","179.0","179.0","179.0","179.0","179.0","0.0","0.0"
"41.0","Sandal Bata (Ladies)","Pair","499.0","499.0","499.0","499.0","499.0","499.0","499.0","499.0","499.0","499.0","499.0","499.0","499.0","499.0","499.0","499.0","499.0","499.0","499.0","499.0","0.0","0.0"
"42.0","Elec. Charges, Upto 50 Units","Unit","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","0.0","0.0"
"43.0","Gas Charges, Upto 3.3719 MMBTU","MMBTU","124.18","124.18","124.18","124.18","124.18","124.18","124.18","124.18","124.18","124.18","124.18","124.18","124.18","124.18","","124.18","","124.18","124.18","124.18","0.0","0.0"
"44.0","Kerosene Oil","1 Ltr","126.25","126.25","120.5","121.0","109.5","103.0","110.0","115.5","119.0","123.54","125.0","114.0","130.0","116.3","123.0","108.0","125.0","118.58","118.69","117.01","-0.09","1.34"
"45.0","Firewood Whole","40 Kg","762.5","683.33","700.0","600.0","703.21","600.0","475.0","545.0","565.0","513.08","400.0","400.0","400.0","662.5","490.0","525.0","400.0","554.39","554.39","507.79","0.0","9.18"
"46.0","Energy Saver (14 watts)","Each","167.5","167.5","155.0","155.0","165.0","162.5","165.0","165.0","175.0","170.0","160.0","155.0","175.0","180.0","160.0","180.0","150.0","165.15","165.15","160.06","0.0","3.18"
"47.0","Washing Soap, (Nylon), (SN)","Cake","25.0","25.0","16.0","20.0","40.0","25.0","39.6","22.0","19.6","14.0","25.0","19.5","20.0","20.0","20.0","30.0","30.0","24.16","23.96","22.25","0.83","8.58"
"48.0","Match Box, Regular","Each","1.0","1.0","1.0","1.0","1.0","1.5","2.0","2.0","2.0","2.0","2.0","2.0","2.0","1.5","1.5","1.0","1.5","1.53","1.53","1.18","0.0","29.66"
"49.0","Petrol, Super","1 Ltr","108.35","108.35","108.4","108.4","108.36","108.4","110.2","109.6","110.9","108.3","108.9","108.5","110.9","108.4","112.0","109.3","113.6","109.46","109.46","103.45","0.0","5.81"
"50.0","Hi Speed Diesel (HSD)","1 Ltr","109.7","109.7","109.8","109.8","109.7","109.7","111.5","110.9","112.15","109.67","110.4","109.8","112.6","109.7","113.5","110.6","114.8","110.82","110.82","108.5","0.0","2.14"
"51.0","LPG Cylinder, 11kg","Each","1318.00 1307.00 1254.00 1375.00 1298.00 1318.00 1285.00 1394.00 1452.00 1155.00 1166.00 1386.00 1265.00 1430.00 1269.00 1500.00 1350.00 1324.82 1248.19 1488.22","","","","","","","","","","","","","","","","","","","","6.14","-10.98"
"52.0","Telephone Local Call","P/Call","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94","0.0","0.0"
"53.0","Soap, LifeBuoy","Each","36.0","36.0","36.0","36.0","36.0","36.0","36.0","36.0","36.0","36.0","36.0","36.0","36.0","36.0","36.0","36.0","36.0","36.0","36.0","35.0","0.0","2.86"
