"4/1/2014 3:11 PM","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","Average Monthly Prices of 53 Essential Items for the month of March 2014","","","","","","","","","","","","","","","","",""
"S.
No.","Description","Unit","Islam-
abad","Rawal-
pindi","Gujran-
wala","Sialkot","Lahore","Faisal-
abad","Sar-
godha","Multan","Baha-
walpur","Karachi","Hyder-
abad","Sukkur","Larkana","Pesha-
war","Bannu","Quetta","Khuz-
dar","Average Prices
Mar 14 Feb 14 Mar 13","","","%change Mar 14 over
Feb 14 Mar 13",""
"44.0","Kerosene Oil","1 Ltr","131.0","131.0","130.0","131.0","118.5","125.5","118.0","123.5","127.0","131.0","130.0","122.5","140.0","124.5","128.0","117.0","125.0","126.68","126.68","118.56","0.0","6.85"
"45.0","Firewood Whole","40 kg","762.5","683.33","700.0","637.5","703.21","600.0","475.0","545.0","565.0","513.08","400.0","390.0","412.5","670.83","480.0","525.0","400.0","556.64","557.15","505.41","-0.09","10.14"
"46.0","Energy Saver (14 watts)","Each","167.5","167.5","155.0","155.0","165.0","162.5","155.0","165.0","175.0","155.0","157.5","155.0","175.0","185.0","160.0","180.0","150.0","163.82","163.68","155.58","0.09","5.3"
"47.0","Washing Soap, 200-250 g, Specify Name","Cake","22.5","22.5","16.0","20.0","40.0","25.0","38.0","22.0","19.0","14.0","25.0","19.5","20.0","19.75","20.0","30.0","30.0","23.72","23.65","21.26","0.3","11.57"
"48.0","Match Box, Regular","Each","1.0","1.0","1.0","1.0","1.0","1.5","2.0","1.5","2.0","2.0","2.0","2.0","2.0","1.5","1.5","1.0","1.5","1.5","1.5","1.09","0.0","37.61"
"49.0","Petrol, Super","1 Ltr","110.4","110.4","110.5","111.5","110.42","110.4","112.2","111.6","112.9","110.4","111.2","110.5","112.9","110.4","114.1","111.3","115.6","111.57","114.09","104.27","-2.21","7.0"
"50.0","Hi Speed Diesel (HSP)","1 Ltr","117.1","117.1","117.2","118.0","117.11","117.05","117.4","119.2","117.5","117.1","117.8","117.2","119.7","117.1","120.8","117.1","122.2","118.04","118.04","110.29","0.0","7.03"
"51.0","LPG Cylinder, 11kg","Each","1543.75","1531.25","1443.75","1388.75","1375.0","1512.5","1418.75","1467.5","1540.0","1210.0","1347.5","1485.0","1391.5","1650.0","1485.0","1575.0","1462.5","1460.46","1440.91","1461.82","1.36","-0.09"
"52.0","Telephone Local Call Charges, 3 Minutes","P/Call","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94","0.0","0.0"
"53.0","Soap, LifeBuoy","Each","36.0","36.0","36.0","36.0","36.0","36.0","36.0","36.0","36.0","36.0","36.0","36.0","36.0","36.0","36.0","36.0","36.0","36.0","36.0","32.0","0.0","12.5"
