"","","","","","","","","Average Monthly Prices of 53 Items for the Month of October 2016","","","","","","","","","","","","","","","",""
"S.
No.","Description","Unit","Islam-
abad","Rawal-
pindi","Gujran-
wala","Sialkot","Lahore","Faisal-
abad","Sar-
godha","Multan","Baha-
walpur","Karachi","Hyder-
abad","Sukkur","Larkana","Pesha-
war","Bannu","Quetta","Khuz-
dar","Average Prices
Oct 16 Sep 16 Oct 15","","","%change October 2016 over
Sep 16 Oct 15",""
"40.0","Gents Chappal Spng, Bata","Pair","179.0","179.0","179.0","179.0","179.0","179.0","179.0","179.0","179.0","180.54","179.0","179.0","179.0","179.0","179.0","179.0","179.0","179.09","179.09","179.0","0.0","0.05"
"41.0","Ladies Sandal, Bata","Pair","499.0","499.0","499.0","499.0","499.0","499.0","499.0","499.0","549.0","506.69","499.0","499.0","499.0","499.0","499.0","499.0","499.0","502.39","502.39","499.0","0.0","0.68"
"42.0","Elec. Charges, Upto 50 Units","Unit","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","0.0","0.0"
"43.0","Gas Charges, Upto 3.3719 MMBTU","MMBTU","128.7","128.7","128.7","128.7","128.7","128.7","128.7","128.7","128.7","128.7","128.7","128.7","128.7","128.7","128.7","128.7","","128.7","128.7","128.7","0.0","0.0"
"44.0","Kerosene Oil","1 Ltr","98.75","95.0","75.0","77.0","90.0","69.0","75.0","67.5","66.0","97.12","80.0","69.5","85.0","75.0","85.0","55.0","50.0","77.05","77.05","83.68","0.0","-7.92"
"45.0","Firewood Whole","40 Kg","787.5","741.67","675.0","650.0","720.0","600.0","500.0","606.67","625.0","629.33","550.0","400.0","400.0","691.67","490.0","625.0","475.0","598.05","597.49","586.71","0.09","1.93"
"46.0","Energy Saver","Each","167.5","167.5","155.0","155.0","170.0","162.5","175.0","165.0","175.0","170.0","190.0","155.0","175.0","180.0","160.0","180.0","150.0","167.79","167.79","166.62","0.0","0.7"
"47.0","Washing Soap, (Nylon), (SN)","Cake","25.0","25.0","16.0","20.0","40.0","25.0","40.0","22.0","20.0","14.0","25.0","26.0","30.0","20.0","22.5","30.0","40.0","25.91","25.62","24.74","1.13","4.73"
"48.0","Match Box, Regular","Each","2.0","2.0","2.0","2.0","2.0","2.5","2.5","2.0","2.5","2.0","2.0","2.5","2.5","2.0","2.5","1.0","1.5","2.09","2.09","1.94","0.0","7.73"
"49.0","Petrol, Super","1 Ltr","64.53","64.53","64.61","66.25","64.63","64.48","64.8","64.99","65.45","64.48","64.95","64.48","66.1","64.48","67.1","64.5","66.78","65.13","65.12","74.56","0.02","-12.65"
"50.0","Hi Speed Diesel (HSD)","1 Ltr","72.81","72.81","72.85","74.6","72.88","72.73","72.95","72.99","74.1","72.73","73.3","72.73","74.3","72.73","75.7","72.8","75.62","73.45","73.45","82.87","0.0","-11.37"
"51.0","LPG Cylinder, 11kg","Each","1190.0","1170.0","976.25","1045.0","948.75","1056.25","1043.75","1100.0","1100.0","1017.5","1100.0","1100.0","1100.0","1100.0","1035.0","1218.75","1000.0","1076.54","995.76","1087.47","8.11","-1.01"
"52.0","Telephone Local Call","P/Call","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94","0.0","0.0"
"53.0","Soap, LifeBuoy","Each","37.0","37.0","37.0","37.0","37.0","37.0","37.0","37.0","37.0","37.0","37.0","37.0","37.0","37.0","36.0","36.0","36.0","36.82","36.82","36.68","0.0","0.38"
