"","","","","","","","Average Monthly Prices of 53 Essential Items for the month of June 2018","","","","","","","","","","","","","","","","",""
"S.
No.","Description","Unit","Islam-
abad","Rawal-
pindi","Gujran-
wala","Sialkot","Lahore","Faisal-
abad","Sar-
godha","Multan","Baha-
walpur","Karachi","Hyder-
abad","Sukkur","Larkana","Pesha-
war","Bannu","Quetta","Khuz-
dar","Average Prices
18 May 18","Jun
Jun 17","","%change Jun 18 over
May 18 Jun 17",""
"37.0","Lawn","1 mtr","240.0","220.0","217.5","220.0","305.0","280.0","393.34","200.0","276.25","415.0","280.0","375.0","366.66","393.0","235.0","200.0","165.0","281.28","272.74","255.77","3.13","9.97"
"38.0","Georgette","1 mtr","165.0","162.92","150.0","140.0","135.0","160.0","140.0","105.0","110.0","121.54","120.0","150.0","130.0","123.33","100.0","105.0","117.5","131.49","131.49","125.22","0.0","5.01"
"39.0","Sandal Bata (Gents)","Pair","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","0.0","0.0"
"40.0","Chappal Spounge Bata (Gents)","Pair","199.0","199.0","199.0","199.0","199.0","199.0","199.0","199.0","199.0","199.0","199.0","199.0","199.0","199.0","199.0","199.0","199.0","199.0","199.0","179.09","0.0","11.12"
"41.0","Sandal Bata (Ladies)","Pair","599.0","599.0","599.0","599.0","599.0","599.0","599.0","599.0","599.0","599.0","599.0","599.0","599.0","599.0","599.0","599.0","599.0","599.0","599.0","502.39","0.0","19.23"
"42.0","Elec. Charges, Upto 50 Units","Unit","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","0.0","0.0"
"43.0","Gas Charges, Upto 3.3719 MMBTU","MMBTU","128.7","128.7","128.7","128.7","128.7","128.7","128.7","128.7","128.7","128.7","128.7","128.7","128.7","128.7","128.7","128.7","","128.7","128.7","128.7","0.0","0.0"
"44.0","Kerosene Oil","1 Ltr","131.88","129.38","119.5","123.5","125.0","110.0","110.0","110.0","128.75","136.03","118.75","123.75","137.5","113.33","119.75","95.75","95.0","119.29","117.06","78.81","1.91","51.36"
"45.0","Firewood Whole","40 Kg","787.5","741.67","750.0","700.0","764.29","600.0","550.0","646.67","625.0","651.92","550.0","400.0","450.0","729.17","500.0","650.0","550.0","626.25","626.25","609.09","0.0","2.82"
"46.0","Energy Saver (14 watts)","Each","167.5","167.5","170.0","155.0","170.0","165.0","180.0","165.0","175.0","180.0","200.0","155.0","180.0","180.0","170.0","180.0","150.0","171.18","171.18","167.79","0.0","2.02"
"47.0","Washing Soap, (Nylon), (SN)","Cake","25.0","25.0","40.0","22.0","40.0","25.0","40.0","22.0","20.0","14.0","30.0","26.0","30.0","20.0","22.5","30.0","40.0","27.74","27.74","25.91","0.0","7.06"
"48.0","Match Box, Regular","Each","2.0","2.0","2.0","2.0","3.0","2.5","3.0","3.0","2.5","2.0","2.0","2.5","2.5","2.0","3.0","2.0","1.5","2.32","2.3","2.21","0.87","4.98"
"49.0","Petrol, Super","1 Ltr","91.33","91.33","91.34","93.13","91.26","91.35","91.46","91.36","92.18","91.33","92.0","91.34","91.53","91.33","92.55","91.21","93.73","91.75","88.54","73.31","3.63","25.15"
"50.0","Hi Speed Diesel (HSD)","1 Ltr","104.16","104.16","104.17","105.45","104.02","104.18","104.28","104.16","105.04","104.15","104.8","103.8","104.38","104.16","106.18","103.97","106.56","104.57","99.58","82.26","5.01","27.12"
"51.0","LPG Cylinder, 11kg","Each","1407.5","1387.5","1196.25","1210.0","1196.25","1287.5","1237.5","1275.0","1320.0","1292.5","1320.0","1210.0","1320.0","1265.0","1225.0","1275.0","1175.0","1270.59","1222.88","987.09","3.9","28.72"
"52.0","Telephone Local Call","P/Call","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94","0.0","0.0"
"53.0","Soap, LifeBuoy","Each","38.0","38.0","38.0","38.0","38.0","42.0","42.0","38.0","38.0","38.0","38.25","38.0","40.0","38.0","40.0","42.0","42.0","39.19","39.18","41.41","0.03","-5.36"
