"","","","","","","","Average Monthly Prices of 53 Essential Items for the month of October 2019","","","","","","","","","","","","","","","","",""
"27.0","Salt Powder, Loose, Lahori","1 Kg","13.5","13.25","15.0","15.0","20.54","10.0","10.0","13.0","12.0","13.1","15.0","10.0","10.0","15.0","12.0","10.0","10.0","12.79","12.5","12.13","2.32","5.44"
"28.0","Red Chilly Powder, Loose","1 Kg","397.5","355.0","334.0","322.0","347.86","372.0","400.0","285.0","310.0","393.46","385.0","370.0","290.0","350.0","363.0","390.0","290.0","350.28","347.0","342.81","0.95","2.18"
"29.0","Garlic","1 Kg","291.25","289.17","251.0","280.0","275.36","240.0","280.0","251.33","240.0","293.66","244.5","246.0","207.0","251.0","273.0","292.0","300.0","265.02","258.09","127.23","2.69","108.3"
"30.0","Tea, Lipton Yellow Label, Packet","200 gm","242.11","242.11","242.11","242.0","242.0","242.1","242.1","242.1","242.0","242.11","242.1","236.84","242.1","242.1","242.1","242.1","242.15","241.78","236.91","204.36","2.06","18.31"
"31.0","Cooked Beef, Average Hotel","Plate","133.13","126.67","145.0","150.0","131.43","170.0","130.0","105.0","125.0","111.92","100.0","120.0","100.0","120.0","105.0","132.0","200.0","129.71","128.43","115.09","1.0","12.7"
"32.0","Cooked Daal, Average Hotel","Plate","86.88","80.83","55.0","60.0","67.32","65.0","60.0","48.75","60.0","72.0","60.0","70.0","65.0","60.0","50.0","95.0","87.5","67.25","67.01","61.93","0.36","8.59"
"33.0","Tea Prepared, Average Hotel","Cup","25.94","25.42","25.0","25.0","24.11","25.0","25.0","24.17","22.5","24.9","31.0","30.0","31.5","20.0","22.5","22.0","20.0","24.94","24.64","21.81","1.22","14.35"
"34.0","Cigarettes, K-2, 20's","Packet","70.0","70.0","80.0","80.0","80.0","80.0","80.0","80.0","80.0","70.0","80.0","80.0","76.0","80.0","88.0","60.0","70.0","76.71","76.24","57.65","0.62","33.06"
"35.0","Long Cloth","1 mtr","262.5","255.0","180.0","200.0","295.0","237.5","275.0","341.0","333.0","200.0","350.0","375.0","300.0","450.0","440.0","550.0","250.0","311.41","309.94","236.08","0.47","31.91"
"36.0","Shirting","1 mtr","249.38","245.0","200.0","220.0","165.0","135.0","170.0","250.0","155.0","183.85","155.0","175.0","200.0","420.83","227.0","165.0","170.0","205.06","204.28","178.63","0.38","14.8"
"37.0","Lawn","1 mtr","260.0","240.0","245.0","270.0","337.5","280.0","393.34","200.0","420.5","421.54","320.0","393.0","500.0","430.0","469.5","500.0","250.0","348.85","348.85","288.65","0.0","20.86"
"38.0","Georgette","1 mtr","185.0","183.75","175.0","170.0","145.0","165.0","150.0","105.0","110.0","123.85","120.0","150.0","160.0","128.33","120.0","110.0","170.0","145.35","144.76","132.08","0.41","10.05"
"39.0","Sandal Bata (Gents)","Pair","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","0.0","0.0"
"40.0","Chappal Spounge Bata (Gents)","Pair","199.0","199.0","199.0","199.0","199.0","199.0","199.0","199.0","199.0","199.0","199.0","199.0","199.0","199.0","199.0","199.0","199.0","199.0","199.0","199.0","0.0","0.0"
"41.0","Sandal Bata (Ladies)","Pair","599.0","699.0","599.0","599.0","599.0","599.0","599.0","599.0","599.0","599.0","599.0","599.0","599.0","599.0","599.0","599.0","599.0","604.88","599.0","599.0","0.98","0.98"
"42.0","Elec. Charges, Upto 50 Units","Unit","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","0.0","0.0"
"43.0","Gas Charges, Upto 3.3719 MMBTU","MMBTU","246.29","246.29","246.29","246.29","246.29","246.29","246.29","246.29","246.29","246.29","246.29","246.29","246.29","246.29","246.29","246.29","","246.29","246.29","140.99","0.0","74.69"
"44.0","Kerosene Oil","1 Ltr","150.0","145.42","137.5","140.0","130.0","136.0","120.0","130.0","140.0","140.0","135.0","125.0","147.5","135.67","121.25","107.0","100.0","131.78","131.78","121.36","0.0","8.59"
"45.0","Firewood Whole","40 Kg","787.5","741.67","792.5","700.0","810.71","600.0","550.0","725.0","690.0","663.46","605.0","500.0","500.0","729.17","500.0","650.0","640.0","657.94","654.83","628.13","0.47","4.75"
"46.0","Energy Saver (14 watts)","Each","175.0","175.0","170.0","155.0","170.0","165.0","180.0","200.0","180.0","180.0","200.0","155.0","192.0","190.0","186.0","218.0","150.0","178.88","177.06","171.18","1.03","4.5"
"47.0","Washing Soap, (Nylon), (SN)","Cake","30.0","30.0","40.0","50.0","48.0","30.0","45.0","22.0","25.0","20.0","30.0","28.0","35.0","20.0","32.5","46.0","40.0","33.62","33.15","28.37","1.42","18.51"
"48.0","Match Box, Regular","Each","2.5","2.5","3.0","2.0","3.0","2.5","3.0","3.0","2.5","3.0","3.0","3.0","3.0","2.8","3.0","2.0","1.5","2.66","2.62","2.35","1.53","13.19"
"49.0","Petrol, Super","1 Ltr","113.73","113.71","113.8","113.85","113.57","113.7","113.9","113.71","114.7","113.76","114.72","113.74","114.0","113.7","116.0","113.71","116.88","114.19","114.19","93.88","0.0","21.63"
"50.0","Hi Speed Diesel (HSD)","1 Ltr","127.63","127.65","127.7","127.75","127.49","127.6","127.8","127.6","128.8","127.66","128.67","127.7","127.9","127.6","130.3","127.57","130.78","128.13","128.13","107.56","0.0","19.12"
"51.0","LPG Cylinder, 11kg","Each","1512.0","1509.0","1430.0","1445.0","1320.0","1410.0","1420.0","1361.67","1430.0","1430.0","1474.0","1408.0","1485.0","1474.0","1360.0","1325.0","1609.8","1435.5","1285.12","1543.13","11.7","-6.97"
"52.0","Telephone Local Call","P/Call","4.65","4.65","4.65","4.65","4.65","4.65","4.65","4.65","4.65","4.65","4.65","4.65","4.65","4.65","4.65","4.65","4.65","4.65","4.65","3.94","0.0","18.02"
"53.0","Soap, LifeBuoy","Each","43.0","43.0","43.0","43.0","43.0","53.0","45.0","45.0","45.0","45.0","45.0","45.0","45.4","45.0","43.0","45.4","43.6","44.73","43.91","40.59","1.87","10.2"
