"","","","","","","","Average Monthly Prices of 53 Essential Items for the month of July 2019","","","","","","","","","","","","","","","","",""
"10.0","Curd (Dahi)","1 Kg","122.5","113.96","100.0","90.0","92.5","100.0","90.0","100.0","80.0","143.18","140.0","110.0","120.0","111.25","100.0","120.0","100.0","107.85","105.62","101.67","2.11","6.08"
"11.0","Powdered Milk, Nido, Polybag","400 gm","451.28","451.28","451.28","451.28","410.0","439.5","451.28","441.02","451.0","441.03","446.15","451.28","437.88","403.33","421.15","435.0","400.0","437.28","411.29","385.12","6.32","13.54"
"12.0","Eggs Hen, Farm","Dozen","94.54","91.36","91.56","95.0","91.25","90.5","92.25","85.21","90.5","93.54","91.38","91.5","71.88","89.59","100.0","95.0","105.0","91.77","85.33","98.05","7.55","-6.4"
"13.0","Mustard Oil, Average Quality","1 Kg","246.25","241.67","177.5","165.0","187.86","220.0","190.0","188.34","170.0","186.64","170.0","160.0","227.5","233.33","177.5","210.0","200.0","197.15","195.18","187.15","1.01","5.34"
"14.0","Cooking Oil, Tin, (SN)","2.5 Ltr","548.75","548.75","550.0","550.0","530.0","535.0","520.0","552.5","548.75","545.0","525.0","510.0","563.75","521.0","540.0","525.0","495.0","535.79","525.99","478.18","1.86","12.05"
"15.0","Vegetable Ghee, Tin, (SN)","2.5 Kg","520.0","520.0","520.0","520.0","520.0","520.0","495.0","522.5","518.75","515.0","515.0","490.0","536.25","501.25","517.5","520.0","487.5","514.04","505.15","472.53","1.76","8.78"
"16.0","Vegetable Ghee (Loose)","1 Kg","170.0","170.34","160.0","167.5","168.0","162.25","165.0","176.75","180.0","168.08","205.0","155.0","147.5","186.25","181.25","200.0","125.0","169.88","163.19","149.44","4.1","13.68"
"17.0","Bananas","Dozen","130.16","107.5","88.13","85.0","82.23","82.5","60.0","97.08","100.0","68.8","59.06","100.0","103.75","87.92","93.75","91.88","87.5","89.72","114.02","86.44","-21.31","3.79"
"18.0","Pulse Masoor, Washed","1 Kg","133.75","120.0","150.0","150.0","133.93","135.0","140.0","116.67","120.0","117.02","103.13","110.0","107.5","105.0","115.0","150.0","120.0","125.12","123.51","112.34","1.3","11.38"
"19.0","Pulse Moong, Washed","1 Kg","191.72","178.96","162.5","165.0","166.43","177.5","180.0","168.33","170.0","169.67","159.38","170.0","157.5","160.42","175.0","190.0","145.0","169.85","163.84","114.0","3.67","48.99"
"20.0","Pulse Mash, Washed","1 Kg","200.47","184.17","185.0","190.0","174.64","185.0","190.0","171.67","170.0","166.92","175.0","170.0","175.0","187.5","160.0","222.5","125.0","178.4","171.43","148.57","4.07","20.08"
"21.0","Pulse Gram, Washed","1 Kg","143.13","135.0","118.13","121.25","120.71","121.88","115.0","120.0","130.0","131.15","123.29","125.0","123.75","133.33","121.25","160.0","140.0","128.4","126.87","115.1","1.21","11.56"
"22.0","Potatoes","1 Kg","44.69","40.42","48.44","48.75","40.05","31.56","25.63","39.59","28.13","36.56","36.25","30.0","34.38","30.62","31.25","31.25","31.25","35.81","31.95","32.86","12.08","8.98"
"23.0","Onions","1 Kg","64.69","57.92","53.75","50.0","55.18","55.0","45.0","50.42","55.0","47.94","50.0","40.0","46.25","50.42","47.5","47.5","40.63","50.42","52.72","34.51","-4.36","46.1"
"24.0","Tomatoes","1 Kg","66.57","52.19","55.0","45.0","58.48","53.75","40.0","46.67","51.25","45.92","40.78","37.5","46.25","33.75","40.0","40.0","28.75","45.99","47.66","56.83","-3.5","-19.07"
"25.0","Sugar, Refined","1 Kg","77.3","73.96","73.5","74.5","73.46","71.25","71.25","70.58","71.5","72.41","70.0","70.25","70.0","72.54","72.5","74.5","71.0","72.38","70.83","55.21","2.19","31.1"
"26.0","Gur, Average Quality","1 Kg","118.75","105.94","110.0","110.0","116.43","111.25","100.0","96.67","100.0","113.99","111.88","108.75","97.5","103.75","107.5","98.75","100.0","106.54","102.54","81.09","3.9","31.38"
"27.0","Salt Powder, Loose, Lahori","1 Kg","12.0","12.0","15.0","15.0","20.54","10.0","10.0","10.0","12.0","12.62","15.0","10.0","10.0","15.0","12.0","10.0","10.0","12.42","12.42","11.59","0.0","7.16"
"28.0","Red Chilly Powder, Loose","1 Kg","397.5","355.0","330.0","320.0","327.86","365.0","400.0","301.25","310.0","393.08","385.0","365.0","290.0","350.0","325.0","390.0","290.0","346.75","347.69","345.63","-0.27","0.32"
"29.0","Garlic","1 Kg","305.0","267.92","237.5","250.0","220.71","227.5","247.5","235.83","233.75","242.84","217.81","202.5","181.25","242.09","207.5","253.75","200.0","233.73","217.18","121.87","7.62","91.79"
"30.0","Tea, Lipton Yellow Label, Packet","200 gm","221.05","221.05","221.05","221.05","221.05","221.05","221.05","221.05","221.0","221.05","221.05","221.05","221.05","221.05","221.05","221.05","195.0","219.51","219.51","201.99","0.0","8.67"
"31.0","Cooked Beef, Average Hotel","Plate","131.57","124.38","145.0","150.0","131.43","166.25","130.0","105.0","125.0","104.0","98.75","115.0","100.0","120.0","105.0","90.0","200.0","125.96","122.58","111.89","2.76","12.57"
"32.0","Cooked Daal, Average Hotel","Plate","85.94","79.58","55.0","60.0","67.32","63.75","60.0","46.25","60.0","68.08","60.0","70.0","65.0","60.0","50.0","75.0","87.5","65.5","64.27","61.38","1.91","6.71"
"33.0","Tea Prepared, Average Hotel","Cup","25.63","25.0","25.0","25.0","24.11","25.0","25.0","23.33","22.5","24.42","30.0","30.0","30.0","20.0","20.0","21.0","20.0","24.47","23.94","21.48","2.21","13.92"
"34.0","Cigarettes, K-2, 20's","Packet","70.0","70.0","80.0","80.0","80.0","80.0","80.0","80.0","80.0","70.0","75.0","80.0","76.0","80.0","80.0","60.0","70.0","75.94","68.06","51.18","11.58","48.38"
"35.0","Long Cloth","1 mtr","258.13","250.0","180.0","190.0","295.0","237.5","275.0","318.75","312.5","200.0","300.0","375.0","300.0","350.0","435.63","550.0","250.0","298.68","291.47","231.81","2.47","28.85"
"36.0","Shirting","1 mtr","245.94","240.0","200.0","210.0","165.0","135.0","170.0","250.0","155.0","183.85","140.0","175.0","200.0","321.0","201.25","163.75","170.0","195.63","190.32","178.63","2.79","9.52"
"37.0","Lawn","1 mtr","260.0","240.0","245.0","260.0","337.5","280.0","393.34","200.0","415.0","421.54","300.0","393.0","366.0","393.0","467.88","500.0","250.0","336.6","332.7","287.59","1.17","17.04"
"38.0","Georgette","1 mtr","182.5","181.25","175.0","165.0","145.0","165.0","150.0","105.0","110.0","123.85","120.0","150.0","160.0","123.33","115.0","108.75","150.0","142.92","140.64","132.08","1.62","8.21"
"39.0","Sandal Bata (Gents)","Pair","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","0.0","0.0"
"40.0","Chappal Spounge Bata (Gents)","Pair","199.0","199.0","199.0","199.0","199.0","199.0","199.0","199.0","199.0","199.0","199.0","199.0","199.0","199.0","199.0","199.0","199.0","199.0","199.0","199.0","0.0","0.0"
"41.0","Sandal Bata (Ladies)","Pair","599.0","599.0","599.0","599.0","599.0","599.0","599.0","599.0","599.0","599.0","599.0","599.0","599.0","599.0","599.0","599.0","599.0","599.0","599.0","599.0","0.0","0.0"
"42.0","Elec. Charges, Upto 50 Units","Unit","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","0.0","0.0"
"43.0","Gas Charges, Upto 3.3719 MMBTU","MMBTU","220.99","220.99","220.99","220.99","220.99","220.99","220.99","220.99","220.99","220.99","220.99","220.99","220.99","220.99","220.99","220.99","","220.99","145.08","128.7","52.32","71.71"
"44.0","Kerosene Oil","1 Ltr","151.25","143.75","135.0","144.0","130.0","130.0","120.0","127.5","140.0","141.83","130.0","127.5","147.5","132.33","120.0","111.0","100.0","131.27","131.06","122.83","0.16","6.87"
"45.0","Firewood Whole","40 Kg","787.5","741.67","775.0","700.0","810.71","600.0","550.0","708.33","650.0","661.54","600.0","475.0","500.0","729.17","500.0","650.0","625.0","650.82","646.41","626.25","0.68","3.92"
"46.0","Energy Saver (14 watts)","Each","173.13","173.13","170.0","155.0","170.0","165.0","180.0","165.0","175.0","180.0","200.0","155.0","190.0","190.0","170.0","200.0","150.0","174.19","171.76","171.18","1.41","1.76"
"47.0","Washing Soap, (Nylon), (SN)","Cake","30.0","30.0","40.0","45.0","45.0","30.0","45.0","22.0","23.75","14.0","30.0","28.0","30.0","20.0","25.0","43.75","40.0","31.85","31.41","27.77","1.4","14.69"
"48.0","Match Box, Regular","Each","2.0","2.0","2.0","2.0","3.0","2.5","3.0","3.0","2.5","3.0","3.0","2.5","3.0","2.0","3.0","2.0","1.5","2.47","2.47","2.32","0.0","6.47"
"49.0","Petrol, Super","1 Ltr","113.18","113.18","113.2","114.8","113.01","113.28","113.2","113.42","114.1","113.16","114.12","113.15","113.3","113.2","115.4","113.1","116.8","113.74","113.74","97.25","0.0","16.96"
"50.0","Hi Speed Diesel (HSD)","1 Ltr","127.3","127.32","127.3","128.5","127.17","127.3","127.4","127.48","128.5","127.29","128.05","127.3","127.5","127.3","129.9","127.2","130.22","127.83","127.83","115.47","0.0","10.7"
"51.0","LPG Cylinder, 11kg","Each","1362.5","1343.75","1223.75","1203.75","1230.63","1275.0","1156.25","1177.09","1265.0","1295.67","1361.25","1375.0","1430.0","1375.0","1200.0","1225.0","1400.0","1288.21 1229.34 1292.79","","","4.79","-0.35"
"52.0","Telephone Local Call","P/Call","4.65","4.65","4.65","4.65","4.65","4.65","4.65","4.65","4.65","4.65","4.65","4.65","4.65","4.65","4.65","4.65","4.65","4.65","4.65","3.94","0.0","18.02"
"53.0","Soap, LifeBuoy","Each","40.0","40.0","42.75","41.5","42.25","45.0","43.13","43.0","43.0","43.0","43.0","43.0","40.0","43.0","40.75","42.0","42.0","42.2","41.09","39.69","2.7","6.32"
