"10/1/2013 1:25 PM","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","Average Monthly Prices of 53 Essential Items for the month of September 2013","","","","","","","","","","","","","","","","",""
"S.
No.","Description","Unit","Islam-
abad","Rawal-
pindi","Gujran-
wala","Sialkot","Lahore","Faisal-
abad","Sar-
godha","Multan","Baha-
walpur","Karachi","Hyder-
abad","Sukkur","Larkana","Pesha-
war","Bannu","Quetta","Khuz-
dar","Average Prices
Sep 13 Aug 13 Sep 12","","","%change Sep 13 over
Aug 13 Sep 12",""
"44.0","Kerosene Oil","1 Ltr","130.0","130.0","128.5","130.0","116.5","124.5","115.0","123.0","126.0","130.0","128.0","122.5","140.0","120.33","123.0","115.0","120.0","124.84","120.82","119.63","3.33","4.36"
"45.0","Firewood Whole","40 kg","643.75","602.08","650.0","637.5","652.86","575.0","400.0","510.0","500.0","463.08","387.5","350.0","450.0","620.0","428.75","525.0","400.0","517.38","509.78","472.4","1.49","9.52"
"46.0","Energy Saver (14 watts)","Each","162.5","162.5","155.0","155.0","165.0","162.5","155.0","160.0","165.0","155.0","155.0","150.0","160.0","190.0","152.5","180.0","160.0","161.47","160.45","147.65","0.64","9.36"
"47.0","Washing Soap, 200-250 g, Specify Name","Cake","19.0","19.0","16.0","20.0","39.25","25.0","37.75","22.0","18.0","14.0","25.0","19.5","20.0","17.0","20.0","30.0","30.0","23.03","22.44","20.74","2.63","11.04"
"48.0","Match Box, Regular","Each","1.0","1.0","1.0","1.0","1.0","1.5","1.5","1.0","1.0","2.0","1.0","2.0","2.0","1.5","1.38","1.0","1.0","1.29","1.19","1.09","8.4","18.35"
"49.0","Petrol, Super","1 Ltr","109.4","109.4","109.6","111.6","109.49","109.7","112.2","111.2","112.25","109.5","110.3","109.6","111.9","109.5","114.0","110.7","114.7","110.88","105.83","106.1","4.77","4.51"
"50.0","Hi Speed Diesel (HSP)","1 Ltr","112.6","112.6","112.7","115.0","112.62","112.7","114.8","114.8","114.9","112.58","113.3","112.7","115.4","112.6","116.0","113.5","117.7","113.91","111.22","114.61","2.42","-0.61"
"51.0","LPG Cylinder, 11kg","Each","1525.0","1510.0","1457.5","1485.0","1471.25","1657.5","1500.0","1562.5","1650.0","1402.5","1471.25","1485.0","1545.5","1760.0","1536.25","1466.0","1518.75","1529.65","1456.26","1495.74","5.04","2.27"
"52.0","Telephone Local Call Charges, 3 Minutes","P/Call","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.59","0.0","9.75"
"53.0","Soap, LifeBuoy","Each","36.0","36.0","36.0","36.0","36.0","36.0","36.0","36.0","36.0","36.0","35.75","36.0","36.0","36.0","35.75","35.75","35.75","35.94","35.36","32.0","1.64","12.31"
