"","","","","","","","Average Monthly Prices of 53 Essential Items for the month of November 2018","","","","","","","","","","","","","","","","",""
"42.0","Elec. Charges, Upto 50 Units","Unit","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","0.0","0.0"
"43.0","Gas Charges, Upto 3.3719 MMBTU","MMBTU","145.08","145.08","145.08","145.08","145.08","145.08","145.08","145.08","145.08","145.08","145.08","145.08","145.08","145.08","145.08","145.08","","145.08","140.99","128.7","2.9","12.73"
"44.0","Kerosene Oil","1 Ltr","138.75","137.5","123.0","128.0","125.0","122.5","120.0","117.92","135.0","136.54","128.0","118.0","140.0","118.33","110.0","99.0","100.0","123.38","121.36","90.36","1.66","36.54"
"45.0","Firewood Whole","40 Kg","787.5","741.67","750.0","700.0","792.14","600.0","550.0","663.33","645.0","667.31","590.0","400.0","450.0","729.17","500.0","650.0","550.0","633.3","628.13","618.81","0.82","2.34"
"46.0","Energy Saver (14 watts)","Each","167.5","167.5","170.0","155.0","170.0","165.0","180.0","165.0","175.0","180.0","200.0","155.0","180.0","180.0","170.0","180.0","150.0","171.18","171.18","169.32","0.0","1.1"
"47.0","Washing Soap, (Nylon), (SN)","Cake","30.0","30.0","40.0","22.0","40.86","25.0","40.0","22.0","20.0","14.0","30.0","26.0","30.0","20.0","22.5","30.0","40.0","28.37","28.37","25.91","0.0","9.49"
"48.0","Match Box, Regular","Each","2.0","2.0","2.0","2.0","3.0","2.5","3.0","3.0","2.5","2.0","2.8","2.5","3.0","2.0","3.0","2.0","1.5","2.4","2.35","2.21","2.13","8.6"
"49.0","Petrol, Super","1 Ltr","98.24","98.24","98.3","99.9","99.19","98.2","98.3","98.8","99.3","98.24","98.97","98.27","99.2","98.24","100.2","98.14","96.02","98.57","93.88","76.77","5.0","28.4"
"50.0","Hi Speed Diesel (HSD)","1 Ltr","113.4","113.4","113.1","114.6","113.29","113.4","113.5","113.9","114.45","113.38","114.2","113.5","114.0","113.4","115.4","113.24","110.13","113.55","107.56","85.48","5.57","32.84"
"51.0","LPG Cylinder, 11kg","Each","1440.0","1420.0","1320.0","1320.0","1314.5","1370.0","1255.0","1320.0","1320.0","1320.0","1342.0","1540.0","1562.0","1540.0","1290.0","1500.0","1500.0","1392.56 1543.13 1242.00","","","-9.76","12.12"
"52.0","Telephone Local Call","P/Call","4.65","4.65","4.65","4.65","4.65","4.65","4.65","4.65","4.65","4.65","4.65","4.65","4.65","4.65","4.65","4.65","4.65","4.65","3.94","3.94","18.02","18.02"
"53.0","Soap, LifeBuoy","Each","40.0","40.0","40.0","40.0","40.0","42.0","42.0","40.0","40.0","40.0","40.0","40.0","40.0","40.0","40.0","42.0","42.0","40.47","40.59","41.76","-0.3","-3.09"
