"","","","","","","","Average Monthly Prices of 53 Essential Items for the month of August 2014","","","","","","","","","","","","","","","","",""
"13.0","Mustard Oil, Average Quality","1 Kg","240.0","232.5","153.75","160.0","188.93","192.5","190.0","172.5","160.0","176.54","160.0","144.75","200.0","221.67","180.0","190.0","190.0","185.48","185.42","182.97","0.03","1.37"
"14.0","Cooking Oil, Tin, (SN)","2.5 Ltr","540.0","540.0","545.0","545.0","535.0","545.0","520.0","540.0","540.0","545.0","545.0","545.0","530.0","540.0","540.0","540.0","550.0","540.29","540.29","536.76","0.0","0.66"
"15.0","Vegetable Ghee, Tin, (SN)","2.5 Kg","510.0","510.0","505.0","505.0","505.0","510.0","500.0","510.0","510.0","505.0","505.0","525.0","520.0","510.0","510.0","510.0","550.0","511.76","511.76","508.88","0.0","0.57"
"16.0","Vegetable Ghee (Loose)","1 Kg","167.81","162.37","148.75","150.0","155.71","148.38","150.0","159.5","160.0","161.54","160.0","157.5","145.0","164.37","149.38","190.0","170.0","158.84","159.49","157.66","-0.41","0.75"
"17.0","Bananas","Dozen","195.79","173.23","76.25","71.25","78.66","60.31","51.25","86.25","80.0","59.62","68.13","71.25","71.25","77.92","105.63","96.25","92.5","89.15","113.08","81.11","-21.16","9.91"
"18.0","Pulse Masoor, Washed","1 Kg","141.25","128.54","144.75","120.0","152.32","141.25","135.0","122.5","120.0","126.54","117.5","130.0","114.38","120.0","120.0","138.13","115.0","128.66","129.21","110.35","-0.43","16.59"
"19.0","Pulse Moong, Washed","1 Kg","170.54","160.0","151.25","147.5","156.49","156.25","142.5","142.08","155.0","174.33","167.5","155.0","143.75","150.83","142.5","128.75","140.0","152.02","160.0","124.92","-4.99","21.69"
"20.0","Pulse Mash, Washed","1 Kg","163.44","154.63","167.5","158.75","163.56","160.0","157.5","149.17","160.0","150.58","142.5","150.0","140.63","151.05","148.75","177.5","140.0","155.03","150.06","129.55","3.31","19.67"
"21.0","Pulse Gram, Washed","1 Kg","84.38","72.5","62.5","65.0","66.07","68.25","62.5","69.17","70.0","78.08","72.5","75.0","68.13","76.67","70.0","103.75","93.75","74.01","74.53","76.6","-0.7","-3.38"
"22.0","Potatoes","1 Kg","84.85","80.94","76.88","55.0","77.68","72.81","71.25","77.5","61.56","61.06","66.25","58.75","60.0","71.67","65.0","61.25","63.75","68.6","68.74","31.31","-0.2","119.1"
"23.0","Onions","1 Kg","59.82","58.65","38.75","48.75","46.16","43.44","40.0","37.5","39.38","35.2","38.44","35.0","39.38","43.13","40.0","35.0","22.5","41.24","39.74","49.72","3.77","-17.06"
"24.0","Tomatoes","1 Kg","64.06","62.0","62.5","67.5","58.95","56.56","46.25","42.5","45.0","38.08","41.17","46.25","46.25","42.08","38.13","27.5","27.5","47.78","50.04","79.41","-4.52","-39.83"
"25.0","Sugar, Refined","1 Kg","62.44","59.88","57.5","57.75","59.07","58.13","56.75","56.88","57.25","57.62","55.5","56.63","56.5","58.62","58.13","59.75","54.75","57.83","55.92","54.28","3.42","6.54"
"26.0","Gur, Average Quality","1 Kg","105.0","90.83","85.0","80.0","83.31","77.5","75.0","77.5","67.5","96.54","75.63","75.0","68.75","91.88","82.5","85.0","80.0","82.17","81.47","87.87","0.86","-6.49"
"27.0","Salt Powder, Loose, Lahori","1 Kg","11.0","10.83","10.0","9.0","10.0","9.0","10.0","9.0","10.0","12.0","10.0","9.0","10.0","10.0","8.0","10.0","10.0","9.87","9.87","9.11","0.0","8.34"
"28.0","Red Chilly Powder, Loose","1 Kg","296.25","279.17","280.0","240.0","263.57","210.0","250.0","235.0","210.0","307.69","260.0","250.0","221.25","201.25","280.0","290.0","200.0","251.42","249.57","211.03","0.74","19.14"
"29.0","Garlic","1 Kg","171.25","152.5","130.0","123.75","154.59","126.25","116.25","117.5","118.75","142.88","124.22","117.5","111.25","136.25","142.5","160.0","165.0","135.91","121.06","124.34","12.27","9.31"
"30.0","Tea, Lipton Yellow Label, Packet","200 gm","124.21","124.21","124.21","124.21","124.21","124.21","124.21","124.21","124.21","124.21","124.21","124.21","124.21","124.21","124.21","124.21","124.21","124.21","124.21","171.82","0.0","-27.71"
"31.0","Cooked Beef, Average Hotel","Plate","83.75","81.25","60.0","62.5","78.04","75.0","95.0","70.0","65.0","71.54","61.88","100.0","70.0","110.0","90.0","80.0","140.0","82.0","82.0","73.6","0.0","11.41"
"32.0","Cooked Daal, Average Hotel","Plate","56.25","50.83","35.0","32.5","51.07","42.5","40.0","32.5","37.5","51.54","40.0","50.0","60.0","60.0","47.5","60.0","60.0","47.48","47.39","43.98","0.19","7.96"
"33.0","Tea Prepared, Average Hotel","Cup","20.0","20.0","17.5","15.0","19.93","20.0","18.5","20.0","15.0","16.54","20.0","20.0","22.5","15.0","15.0","21.0","18.13","18.48","18.41","16.05","0.38","15.14"
"34.0","Cigarettes, K-2, 20's","Packet","45.0","45.0","45.0","50.0","45.0","40.0","48.0","43.0","45.0","45.0","46.0","45.0","45.0","45.0","45.0","50.0","40.0","45.12","44.76","37.59","0.8","20.03"
"35.0","Long Cloth","1 mtr","185.0","175.0","137.5","135.0","247.14","237.5","225.0","250.0","180.0","170.0","210.0","230.0","200.0","300.0","147.5","170.0","190.0","199.39","198.8","171.03","0.3","16.58"
"36.0","Shirting","1 mtr","172.5","165.0","175.0","175.0","118.57","125.0","140.0","210.0","115.0","138.08","120.0","120.0","130.0","270.83","130.0","160.0","190.0","156.18","156.0","140.19","0.12","11.41"
"37.0","Lawn","1 mtr","227.5","210.0","205.0","205.0","261.07","240.0","360.0","150.0","146.5","360.0","215.0","280.0","333.0","360.0","167.5","180.0","165.0","239.15","237.62","189.74","0.64","26.04"
"38.0","Georgette","1 mtr","155.0","152.5","132.5","130.0","110.54","160.0","125.0","105.0","110.0","114.62","110.0","125.0","130.0","110.0","97.5","105.0","95.0","121.63","122.16","109.95","-0.43","10.62"
"39.0","Sandal Bata (Gents)","Pair","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","649.0","0.0","7.7"
"40.0","Chappal Spounge Bata (Gents)","Pair","179.0","179.0","179.0","179.0","179.0","179.0","179.0","179.0","179.0","179.0","179.0","179.0","179.0","179.0","179.0","179.0","179.0","179.0","179.0","179.0","0.0","0.0"
"41.0","Sandal Bata (Ladies)","Pair","499.0","499.0","499.0","499.0","499.0","499.0","499.0","499.0","499.0","499.0","499.0","499.0","499.0","499.0","499.0","499.0","499.0","499.0","499.0","499.0","0.0","0.0"
"42.0","Elec. Charges, Upto 50 Units","Unit","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","0.0","0.0"
"43.0","Gas Charges, Upto 3.3719 MMBTU","MMBTU","124.18","124.18","124.18","124.18","124.18","124.18","124.18","124.18","124.18","124.18","124.18","124.18","124.18","124.18","","124.18","","124.18","124.18","124.18","0.0","0.0"
"44.0","Kerosene Oil","1 Ltr","126.25","126.25","120.5","121.0","109.5","103.0","110.0","115.5","119.0","123.54","125.0","114.0","130.0","116.33","123.0","108.0","125.0","118.58","118.58","120.82","0.0","-1.85"
"45.0","Firewood Whole","40 Kg","762.5","683.33","700.0","600.0","703.21","600.0","475.0","545.0","565.0","513.08","400.0","400.0","400.0","662.5","490.0","525.0","400.0","554.39","554.39","509.78","0.0","8.75"
"46.0","Energy Saver (14 watts)","Each","167.5","167.5","155.0","155.0","165.0","162.5","165.0","165.0","175.0","170.0","160.0","155.0","175.0","180.0","160.0","180.0","150.0","165.15","165.15","160.45","0.0","2.93"
"47.0","Washing Soap, (Nylon), (SN)","Cake","25.0","25.0","16.0","20.0","40.0","25.0","40.0","22.0","20.0","14.0","25.0","19.5","20.0","20.0","20.63","30.0","30.0","24.24","24.16","22.44","0.33","8.02"
"48.0","Match Box, Regular","Each","1.0","1.0","2.0","2.0","1.0","1.5","2.0","2.0","2.0","2.0","2.0","2.0","2.0","1.5","1.5","1.0","1.5","1.65","1.53","1.19","7.84","38.66"
"49.0","Petrol, Super","1 Ltr","108.35","108.35","108.4","108.4","108.36","108.4","110.2","109.6","110.9","108.3","108.9","108.5","110.9","108.4","112.0","109.3","113.6","109.46","109.46","105.83","0.0","3.43"
"50.0","Hi Speed Diesel (HSD)","1 Ltr","109.7","109.7","109.8","109.8","109.7","109.7","111.5","110.9","112.15","109.67","110.4","109.8","112.6","109.7","113.5","110.6","114.8","110.82","110.82","111.22","0.0","-0.36"
"51.0","LPG Cylinder, 11kg","Each","1342.50 1337.50 1265.00 1375.00 1320.00 1348.75 1300.00 1370.00 1430.00 1237.50 1265.00 1375.00 1298.00 1430.00 1270.00 1487.50 1350.00 1341.28 1324.82 1456.26","","","","","","","","","","","","","","","","","","","","1.24","-7.9"
"52.0","Telephone Local Call","P/Call","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94","0.0","0.0"
"53.0","Soap, LifeBuoy","Each","36.0","36.0","36.0","36.0","36.0","36.0","36.0","36.0","36.0","35.86","36.0","36.0","36.0","36.0","36.0","36.0","36.0","36.0","36.0","35.36","0.0","1.81"
