"","","","","","","","Average Monthly Prices of 53 Essential Items for the month of April 2015","","","","","","","","","","","","","","","","",""
"S.
No.","Description","Unit","Islam-
abad","Rawal-
pindi","Gujran-
wala","Sialkot","Lahore","Faisal-
abad","Sar-
godha","Multan","Baha-
walpur","Karachi","Hyder-
abad","Sukkur","Larkana","Pesha-
war","Bannu","Quetta","Khuz-
dar","Average Prices
15 Mar 15","Apr
Apr 14","","%change Apr 15 over
Mar 15 Apr 14",""
"37.0","Lawn","1 mtr","235.0","216.0","205.0","205.0","261.07","240.0","360.0","150.0","148.6","360.0","215.0","280.0","333.0","360.0","168.5","180.0","165.0","240.13","239.15","209.53","0.41","14.6"
"38.0","Georgette","1 mtr","155.0","152.5","132.5","130.0","110.54","160.0","150.0","105.0","110.0","114.62","110.0","125.0","130.0","110.0","97.5","105.0","95.0","123.1","123.1","114.66","0.0","7.36"
"39.0","Sandal Bata (Gents)","Pair","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","0.0","0.0"
"40.0","Chappal Spounge Bata (Gents)","Pair","179.0","179.0","179.0","179.0","179.0","179.0","179.0","179.0","179.0","179.0","179.0","179.0","179.0","179.0","179.0","179.0","179.0","179.0","179.0","179.0","0.0","0.0"
"41.0","Sandal Bata (Ladies)","Pair","499.0","499.0","499.0","499.0","499.0","499.0","499.0","499.0","499.0","499.0","499.0","499.0","499.0","499.0","499.0","499.0","499.0","499.0","499.0","499.0","0.0","0.0"
"42.0","Elec. Charges, Upto 50 Units","Unit","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","0.0","0.0"
"43.0","Gas Charges, Upto 3.3719 MMBTU","MMBTU","124.18","124.18","124.18","124.18","124.18","124.18","124.18","124.18","124.18","124.18","124.18","124.18","124.18","124.18","","124.18","","124.18","124.18","124.18","0.0","0.0"
"44.0","Kerosene Oil","1 Ltr","94.0","91.0","80.5","90.0","73.0","75.0","85.0","80.0","84.0","101.85","90.0","82.5","110.0","86.57","90.0","72.0","80.0","86.2","84.41","121.12","2.12","-28.83"
"45.0","Firewood Whole","40 Kg","787.5","741.67","700.0","675.0","802.5","600.0","475.0","551.0","620.0","556.15","425.0","400.0","394.0","660.0","490.0","525.0","400.0","576.64","577.22","555.41","-0.1","3.82"
"46.0","Energy Saver (14 watts)","Each","167.5","167.5","155.0","155.0","170.0","162.5","170.0","165.0","175.0","170.0","160.0","155.0","175.0","180.0","160.0","180.0","150.0","165.74","165.74","163.97","0.0","1.08"
"47.0","Washing Soap, (Nylon), (SN)","Cake","25.0","25.0","16.0","20.0","40.0","25.0","40.0","22.0","20.0","14.0","25.0","19.5","20.0","20.0","22.5","30.0","30.0","24.35","24.35","23.74","0.0","2.57"
"48.0","Match Box, Regular","Each","1.4","1.4","2.0","2.0","1.0","2.0","2.3","2.0","2.3","2.0","2.0","2.0","2.0","2.0","2.0","1.0","1.5","1.82","1.74","1.5","4.6","21.33"
"49.0","Petrol, Super","1 Ltr","74.55","74.55","74.7","75.8","74.64","74.7","76.17","74.6","74.9","74.55","75.1","74.8","75.8","74.58","77.9","74.6","74.6","75.09","71.21","109.86","5.45","-31.65"
"50.0","Hi Speed Diesel (HSD)","1 Ltr","83.92","83.92","84.0","85.3","83.97","84.0","85.36","83.9","84.35","83.91","84.5","84.1","85.3","83.9","87.9","84.0","84.0","84.49","81.53","115.39","3.63","-26.78"
"51.0","LPG Cylinder, 11kg","Each","1230.0","1212.0","957.0","1056.0","946.0","1020.0","1010.0","1056.0","1012.0","924.0","1012.0","1100.0","1100.0","1166.0","1006.0","1450.0","1250.0","1088.65","1162.9","1428.11","-6.38","-23.77"
"52.0","Telephone Local Call","P/Call","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94","0.0","0.0"
"53.0","Soap, LifeBuoy","Each","36.0","36.0","36.0","36.0","36.0","36.0","36.0","36.0","36.0","36.0","36.0","36.0","36.0","36.0","36.0","36.0","36.0","36.0","36.0","35.99","0.0","0.03"
