"","","","","","","","Average Monthly Prices of 53 Items for the month of May 2016","","","","","","","","","","","","","","","","",""
"S.
No.","Description","Unit","Islam-
abad","Rawal-
pindi","Gujran-
wala","Sialkot","Lahore","Faisal-
abad","Sar-
godha","Multan","Baha-
walpur","Karachi","Hyder-
abad","Sukkur","Larkana","Pesha-
war","Bannu","Quetta","Khuz-
dar","Average Prices
May 16 Apr 16 May 15","","","%change May 16 over
Apr 16 May 15",""
"37.0","Lawn Printed, (SN)","1 mtr","240.0","220.0","205.0","205.0","281.07","240.0","360.0","150.0","164.25","415.0","280.0","280.0","333.0","360.0","187.5","180.0","165.0","250.93","248.4","241.56","1.02","3.88"
"38.0","Georgette, (AQ), (SN)","1 mtr","155.0","152.5","132.5","130.0","120.54","160.0","140.0","105.0","110.0","114.62","120.0","125.0","130.0","110.0","100.0","105.0","95.0","123.83","123.91","123.1","-0.06","0.59"
"39.0","Gents Sandal, Bata","Pair","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","0.0","0.0"
"40.0","Gents Chappal Spng, Bata","Pair","179.0","179.0","179.0","179.0","179.0","179.0","179.0","179.0","179.0","180.54","179.0","179.0","179.0","179.0","179.0","179.0","179.0","179.09","179.05","179.0","0.02","0.05"
"41.0","Ladies Sandal, Bata","Pair","499.0","499.0","499.0","499.0","499.0","499.0","499.0","499.0","549.0","506.69","499.0","499.0","499.0","499.0","499.0","499.0","499.0","502.39","502.17","499.0","0.04","0.68"
"42.0","Elec. Charges, Upto 50 Units","Unit","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","0.0","0.0"
"43.0","Gas Charges, Upto 3.3719 MMBTU","MMBTU","128.7","128.7","128.7","128.7","128.7","128.7","128.7","128.7","128.7","127.26","128.7","128.7","128.7","128.7","124.18","128.7","","128.33","128.37","124.18","-0.03","3.34"
"44.0","Kerosene Oil","1 Ltr","90.0","90.0","75.0","77.0","85.0","69.0","75.0","67.5","66.0","87.81","78.0","67.5","85.0","75.0","80.0","55.0","50.0","74.87","74.85","87.24","0.03","-14.18"
"45.0","Firewood Whole","40 Kg","787.5","741.67","681.25","656.25","720.0","600.0","500.0","606.67","625.0","618.27","550.0","400.0","400.0","691.67","490.0","625.0","450.0","596.66","601.97","577.35","-0.88","3.34"
"46.0","Energy Saver","Each","167.5","167.5","155.0","155.0","170.0","162.5","175.0","165.0","175.0","170.0","190.0","155.0","175.0","180.0","160.0","180.0","150.0","167.79","167.5","165.74","0.17","1.24"
"47.0","Washing Soap, (Nylon), (SN)","Cake","25.0","25.0","16.0","20.0","40.0","25.0","40.0","22.0","20.0","14.0","25.0","26.0","25.0","20.0","22.5","30.0","30.0","25.03","25.03","24.35","0.0","2.79"
"48.0","Match Box, Regular","Each","2.0","2.0","2.0","2.0","2.0","2.5","2.5","2.0","2.5","2.0","2.0","2.5","2.5","2.0","2.5","1.0","1.5","2.09","2.07","1.91","0.97","9.42"
"49.0","Petrol, Super","1 Ltr","64.49","64.48","64.61","66.25","64.63","64.48","64.8","64.99","65.45","64.48","64.95","64.48","66.1","64.48","67.1","64.5","66.78","65.12","65.12","75.09","0.0","-13.28"
"50.0","Hi Speed Diesel (HSD)","1 Ltr","72.74","72.73","72.85","74.6","72.88","72.73","72.95","72.99","74.1","72.73","73.3","72.73","74.3","72.73","75.7","72.8","75.62","73.44","73.44","84.49","0.0","-13.08"
"51.0","LPG Cylinder, 11kg","Each","1075.0","1055.0","797.5","852.5","811.25","862.5","862.5","852.5","852.5","852.5","880.0","990.0","951.5","990.0","860.0","1125.0","1000.0","921.78","903.93","1057.93","1.97","-12.87"
"52.0","Telephone Local Call","P/Call","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94","0.0","0.0"
"53.0","Soap, LifeBuoy","Each","37.0","37.0","35.0","37.0","35.0","35.0","35.0","35.5","36.5","35.0","35.0","35.0","37.0","35.0","36.0","36.0","36.0","35.76","35.65","36.31","0.31","-1.51"
