"","","","","","","","Average Monthly Prices of 53 Essential Items for the month of July 2015","","","","","","","","","","","","","","","","",""
"15.0","Vegetable Ghee, Tin, (SN)","2.5 Kg","440.0","440.0","452.0","452.0","455.0","460.0","445.0","460.0","440.0","453.0","452.0","475.0","480.0","450.0","470.0","457.0","495.0","457.41","459.35","511.76","-0.42","-10.62"
"16.0","Vegetable Ghee (Loose)","1 Kg","146.25","142.08","135.0","135.0","135.29","134.35","134.2","141.8","140.5","141.54","140.0","140.0","135.0","151.67","158.0","158.0","130.0","141.1","141.84","159.49","-0.52","-11.53"
"17.0","Bananas","Dozen","186.88","149.5","110.0","114.0","113.29","88.0","95.0","97.17","81.0","72.08","79.25","62.0","95.0","95.33","92.25","86.0","93.0","100.57","98.32","113.08","2.29","-11.06"
"18.0","Pulse Masoor, Washed","1 Kg","154.38","142.5","160.0","150.0","161.96","155.0","152.0","137.5","135.0","143.08","135.0","140.0","126.5","128.75","122.5","150.0","115.0","141.72","142.38","129.21","-0.46","9.68"
"19.0","Pulse Moong, Washed","1 Kg","183.13","177.5","165.0","170.0","176.43","166.0","155.0","147.5","160.0","173.08","175.75","150.0","160.0","157.67","151.5","170.0","150.0","164.03","169.02","160.0","-2.95","2.52"
"20.0","Pulse Mash, Washed","1 Kg","191.25","190.83","195.0","205.0","202.86","200.0","188.0","177.5","185.0","177.08","175.0","170.0","177.5","189.17","155.0","209.0","145.0","184.31","182.86","150.06","0.79","22.82"
"21.0","Pulse Gram, Washed","1 Kg","109.75","105.17","106.3","109.0","105.64","101.25","101.5","106.5","106.0","103.08","106.88","105.0","105.0","109.84","102.0","129.0","110.0","107.17","97.92","74.53","9.45","43.79"
"22.0","Potatoes","1 Kg","37.88","33.33","34.0","42.0","31.82","36.0","19.0","35.5","20.0","22.54","20.5","18.5","20.0","27.25","20.0","20.8","24.0","27.24","24.6","68.74","10.73","-60.37"
"23.0","Onions","1 Kg","57.63","53.0","44.0","45.0","44.78","42.75","38.0","43.33","40.5","41.46","41.38","34.5","42.0","46.33","41.5","39.0","26.0","42.42","46.12","39.74","-8.02","6.74"
"24.0","Tomatoes","1 Kg","57.38","45.08","49.0","46.0","53.07","53.25","45.0","53.0","46.0","55.08","53.0","46.0","53.0","39.17","37.75","38.0","28.0","46.93","58.96","50.04","-20.4","-6.22"
"25.0","Sugar, Refined","1 Kg","69.18","67.2","65.6","66.2","65.59","64.3","64.8","64.9","65.0","66.62","64.0","64.1","64.5","67.93","65.0","66.0","61.0","65.41","62.49","55.92","4.67","16.97"
"26.0","Gur, Average Quality","1 Kg","115.0","106.67","97.5","95.0","99.29","76.25","83.5","85.5","90.5","103.08","80.0","85.0","80.0","88.83","93.75","85.0","95.0","91.76","89.86","81.47","2.11","12.63"
"27.0","Salt Powder, Loose, Lahori","1 Kg","12.0","12.0","10.0","10.0","10.0","10.0","10.0","9.6","12.0","12.0","10.0","9.0","10.0","10.0","9.0","10.0","10.0","10.33","10.17","9.87","1.57","4.66"
"28.0","Red Chilly Powder, Loose","1 Kg","307.5","295.83","280.0","260.0","292.14","262.5","266.0","255.0","210.0","306.15","286.25","265.0","238.0","230.0","278.0","310.0","250.0","270.14","269.03","249.57","0.41","8.24"
"29.0","Garlic","1 Kg","204.5","180.67","142.0","144.0","151.43","125.0","144.0","142.83","136.0","153.54","175.0","133.0","119.0","138.33","144.5","126.0","129.0","146.4","142.56","121.06","2.69","20.93"
"30.0","Tea, Lipton Yellow Label, Packet","200 gm","157.89","157.89","161.05","161.05","161.68","157.49","156.84","157.89","161.68","149.47","157.9","157.89","157.89","154.94","149.47","149.47","149.47","156.47","153.04","124.21","2.24","25.97"
"31.0","Cooked Beef, Average Hotel","Plate","88.75","85.83","62.5","62.5","78.04","75.0","100.0","70.0","65.0","71.54","72.5","100.0","70.0","116.67","90.0","80.0","140.0","84.02","83.95","82.0","0.08","2.46"
"32.0","Cooked Daal, Average Hotel","Plate","62.5","55.83","35.0","32.5","51.07","42.5","40.0","40.0","40.0","53.08","46.25","50.0","60.0","60.0","47.5","60.0","60.0","49.19","49.19","47.39","0.0","3.8"
"33.0","Tea Prepared, Average Hotel","Cup","20.0","20.0","17.5","17.5","19.93","20.0","20.0","20.0","15.0","18.62","20.0","20.0","22.5","15.0","15.0","21.0","20.0","18.94","18.93","18.41","0.05","2.88"
"34.0","Cigarettes, K-2, 20's","Packet","55.0","55.0","55.0","55.0","52.0","50.0","60.0","52.0","52.0","55.0","55.0","55.0","55.0","55.0","48.0","60.0","60.0","54.65","51.49","44.76","6.14","22.1"
"35.0","Long Cloth","1 mtr","205.0","195.0","137.5","135.0","247.14","237.5","235.0","250.0","180.0","170.0","210.0","230.0","200.0","300.0","150.0","170.0","190.0","202.48","202.33","198.8","0.07","1.85"
"36.0","Shirting","1 mtr","182.5","175.0","175.0","175.0","118.57","125.0","140.0","210.0","115.0","166.15","130.0","120.0","130.0","283.33","142.0","160.0","190.0","161.03","160.24","156.0","0.49","3.22"
"37.0","Lawn","1 mtr","240.0","220.0","205.0","205.0","261.07","240.0","360.0","150.0","150.0","360.0","240.0","280.0","333.0","360.0","182.5","180.0","165.0","243.03","242.81","237.62","0.09","2.28"
"38.0","Georgette","1 mtr","155.0","152.5","132.5","130.0","110.54","160.0","150.0","105.0","110.0","114.62","110.0","125.0","130.0","110.0","97.5","105.0","95.0","123.1","123.1","122.16","0.0","0.77"
"39.0","Sandal Bata (Gents)","Pair","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","0.0","0.0"
"40.0","Chappal Spounge Bata (Gents)","Pair","179.0","179.0","179.0","179.0","179.0","179.0","179.0","179.0","179.0","179.0","179.0","179.0","179.0","179.0","179.0","179.0","179.0","179.0","179.0","179.0","0.0","0.0"
"41.0","Sandal Bata (Ladies)","Pair","499.0","499.0","499.0","499.0","499.0","499.0","499.0","499.0","499.0","499.0","499.0","499.0","499.0","499.0","499.0","499.0","499.0","499.0","499.0","499.0","0.0","0.0"
"42.0","Elec. Charges, Upto 50 Units","Unit","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","0.0","0.0"
"43.0","Gas Charges, Upto 3.3719 MMBTU","MMBTU","124.18","124.18","124.18","124.18","124.18","124.18","124.18","124.18","124.18","124.18","124.18","124.18","124.18","124.18","","124.18","","124.18","124.18","124.18","0.0","0.0"
"44.0","Kerosene Oil","1 Ltr","105.0","105.0","84.5","95.0","77.0","80.0","85.0","85.0","88.0","105.85","94.0","86.0","120.0","90.67","92.0","76.0","80.0","91.12","91.06","118.58","0.07","-23.16"
"45.0","Firewood Whole","40 Kg","787.5","741.67","700.0","675.0","802.5","600.0","475.0","555.0","620.0","556.15","425.0","400.0","396.0","661.67","490.0","525.0","450.0","580.03","579.68","554.39","0.06","4.62"
"46.0","Energy Saver (14 watts)","Each","167.5","167.5","155.0","155.0","170.0","162.5","170.0","165.0","175.0","170.0","168.0","155.0","175.0","180.0","160.0","180.0","150.0","166.21","165.74","165.15","0.28","0.64"
"47.0","Washing Soap, (Nylon), (SN)","Cake","25.0","25.0","16.0","20.0","40.0","25.0","40.0","22.0","20.0","14.0","25.0","19.5","20.0","20.0","22.5","30.0","30.0","24.35","24.35","24.16","0.0","0.79"
"48.0","Match Box, Regular","Each","2.0","2.0","2.0","2.0","1.0","2.2","2.5","2.0","2.5","2.0","2.0","2.0","2.0","2.0","2.0","1.0","1.5","1.92","1.91","1.53","0.52","25.49"
"49.0","Petrol, Super","1 Ltr","78.06","78.06","78.2","78.3","78.14","78.2","78.46","78.95","78.65","78.06","78.6","78.1","79.4","78.06","81.2","78.1","78.1","78.51","78.51","109.46","0.0","-28.28"
"50.0","Hi Speed Diesel (HSD)","1 Ltr","87.41","87.41","87.6","87.7","87.47","88.5","87.86","87.9","88.3","87.41","88.0","87.5","88.8","87.41","91.2","87.51","87.51","87.97","87.97","110.82","0.0","-20.62"
"51.0","LPG Cylinder, 11kg","Each","1290.0","1270.0","979.0","1078.0","979.0","1000.0","1000.0","976.0","1034.0","913.0","990.0","1100.0","1078.0","1100.0","1052.0","1205.0","1060.0","1064.94","1078.56","1324.82","-1.26","-19.62"
"52.0","Telephone Local Call","P/Call","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94","0.0","0.0"
"53.0","Soap, LifeBuoy","Each","37.0","37.0","37.0","37.0","36.0","36.0","36.0","37.0","37.0","36.0","36.0","37.0","36.0","37.0","36.0","36.0","36.0","36.47","36.41","36.0","0.16","1.31"
